"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.63,0.049,0.078,0.139
"P10","Juntos por el Cambio",0.207,0.361,0.659,0.632
"P10","De los liberales libertarios",0.071,0.506,0.103,0.06
"P10","De la Izquierda",0.051,0.007,0.075,0.025
"P10","Hacemos por nuestro país",0.014,0.044,0.033,0.021
"P10","Otro",0.007,0.014,0.009,0.037
"P10","En blanco",0.002,0.011,0.02,0.008
"P10","No sabe",0.018,0.008,0.023,0.078
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.609,0.04,0.085,0.149
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.219,0.338,0.646,0.654
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.068,0.52,0.051,0.043
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.064,0.022,0.08,0.013
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.055,0.081,0.031
"P13","En blanco",0.007,0.013,0.032,0.044
"P13","No sabe",0.02,0.012,0.025,0.066
"P16","Union por la Patria",0.653,0.06,0.061,0.115
"P16","Cambiemos",0.216,0.498,0.736,0.671
"P16","Liberales",0.042,0.369,0.056,0.055
"P16","Izquierda",0.05,0.017,0.078,0.025
"P16","No sabe",0.039,0.056,0.069,0.134
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.581,0.073,0.128,0.186
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.237,0.456,0.645,0.591
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.085,0.368,0.058,0.095
"P17","La candidata a Jefe de Gobierno de la izquierda",0.049,0.019,0.064,0
"P17","En blanco",0.023,0.062,0.06,0.064
"P17","No sabe",0.025,0.022,0.045,0.064
"P26","Totalmente seguro",0.721,0.697,0.728,0.614
"P26","Bastante seguro",0.115,0.162,0.129,0.171
"P26","Algo seguro",0.123,0.105,0.091,0.102
"P26","Para nada seguro",0.041,0.036,0.052,0.113
"P27","Tiene Decidido que va a ir a votar",0.938,0.908,0.909,0.876
"P27","Tiene dudas sobre si va a ir a  votar",0.052,0.064,0.067,0.088
"P27","Tiene Decidido que no va a ir a votar",0.01,0.028,0.024,0.036
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.775,0.038,0.107,0.14
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.172,0.58,0.702,0.655
"P28","En blanco",0.012,0.235,0.104,0.053
"P28","No sabe",0.041,0.147,0.087,0.152
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.519,0.328,0.666,0.597
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.044,0.632,0.138,0.118
"P29","En blanco",0.302,0.017,0.191,0.015
"P29","No sabe",0.135,0.023,0.005,0.27
"P38","Inflación",0.387,0.398,0.28,0.219
"P38","Desempleo",0.101,0.057,0.053,0.049
"P38","Corrupción",0.139,0.37,0.447,0.43
"P38","Inseguridad",0.126,0.092,0.08,0.16
"P38","Precio del dólar",0.049,0.011,0.006,0
"P38","Pobreza",0.09,0.023,0.059,0.048
"P38","Narcotráfico",0.003,0.003,0.002,0.017
"P38","Tarifas",0.003,0.002,0.007,0.01
"P38","Otro",0.076,0.034,0.051,0.047
"P38","No sabe",0.026,0.01,0.015,0.02
"P10_imputada","Unión por la Patria",0.636,0.051,0.084,0.156
"P10_imputada","Juntos por el Cambio",0.216,0.366,0.673,0.675
"P10_imputada","De los liberales libertarios",0.073,0.508,0.103,0.078
"P10_imputada","De la Izquierda",0.051,0.006,0.075,0.025
"P10_imputada","Hacemos por nuestro país",0.014,0.044,0.033,0.021
"P10_imputada","Otro",0.007,0.014,0.009,0.037
"P10_imputada","En blanco",0.003,0.011,0.023,0.008
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.62,0.042,0.088,0.18
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.228,0.343,0.662,0.684
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.068,0.525,0.056,0.043
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.064,0.022,0.08,0.013
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.055,0.082,0.031
"P13_imputada","En blanco",0.007,0.013,0.032,0.049
"P16_imputada","Union por la Patria",0.672,0.062,0.077,0.152
"P16_imputada","Cambiemos",0.228,0.517,0.788,0.768
"P16_imputada","Liberales",0.047,0.394,0.056,0.055
"P16_imputada","Izquierda",0.053,0.027,0.079,0.025
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.596,0.083,0.135,0.192
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.242,0.462,0.679,0.62
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.087,0.374,0.058,0.101
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.052,0.019,0.064,0
"P17_imputada","En blanco",0.023,0.062,0.064,0.087
