"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.327,0.311,0.339,0.322,0.383,0.296,0.267,0.364,0.258,0.363,0.701,0.189,0.279,0.802,0.741,0.119,0.302,0.044
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.333,0.423,0.257,0.419,0.379,0.294,0.199,0.397,0.312,0.326,0.155,0.399,0.285,0.082,0.082,0.324,0.279,0.872
"En blanco",0.217,0.179,0.25,0.177,0.149,0.262,0.332,0.126,0.277,0.206,0.101,0.262,0.287,0.077,0.08,0.374,0.243,0.038
"No sabe",0.123,0.087,0.154,0.082,0.089,0.148,0.202,0.113,0.153,0.105,0.043,0.15,0.149,0.039,0.097,0.183,0.176,0.046
