"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.393,0.288,0.582,0.495,0.037,0.133,0.738,0.629,0.234,0.551
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.234,0.167,0.217,0.214,0.161,0.111,0,0.135,0.134,0.116
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.043,0.03,0.038,0.017,0.014,0.137,0,0,0.071,0
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.042,0.06,0.004,0,0.142,0,0,0.066,0
"P13_imputada","En blanco",0.005,0.07,0.023,0,0,0.016,0,0,0.052,0
"P16_imputada","Union por la Patria",0.31,0.407,0.123,0.356,0.559,0.551,0.267,0.252,0.49,0.518
"P16_imputada","Cambiemos",0.471,0.415,0.639,0.522,0.289,0.295,0.733,0.748,0.322,0.427
"P16_imputada","Liberales",0.183,0.125,0.188,0.108,0.152,0.039,0,0,0.112,0.055
"P16_imputada","Izquierda",0.036,0.053,0.05,0.014,0,0.115,0,0,0.076,0
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.314,0.267,0.152,0.138,0.711,0.545,0.185,0.252,0.514,0.452
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.459,0.269,0.588,0.56,0.122,0.259,0.408,0.358,0.238,0.384
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.162,0.268,0.172,0.264,0.167,0.019,0,0.136,0.099,0.055
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.033,0.053,0.034,0.005,0,0.121,0.204,0.117,0,0
"P17_imputada","En blanco",0.032,0.143,0.054,0.033,0,0.056,0.203,0.137,0.149,0.109
