"var","categoria","Leandro Santoro a Jefe de Gobierno por Union por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza","Los candidatos a Jefe de Gobierno de la izquierda","En blanco"
"P26","Totalmente seguro",0.665,0.715,0.724,0.552,0.473
"P26","Bastante seguro",0.132,0.143,0.148,0.148,0.123
"P26","Algo seguro",0.112,0.091,0.099,0.129,0.146
"P26","Para nada seguro",0.091,0.051,0.029,0.171,0.258
"P27","Tiene Decidido que va a ir a votar",0.898,0.944,0.899,0.929,0.704
"P27","Tiene dudas sobre si va a ir a  votar",0.08,0.039,0.087,0.043,0.186
"P27","Tiene Decidido que no va a ir a votar",0.022,0.017,0.014,0.028,0.11
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.751,0.094,0.154,0.563,0.22
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.121,0.811,0.306,0.116,0.302
"P28","En blanco",0.062,0.031,0.357,0.02,0.232
"P28","No sabe",0.066,0.064,0.183,0.301,0.246
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.345,0.747,0.18,0.509,0.237
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.102,0.176,0.74,0.017,0.39
"P29","En blanco",0.368,0.037,0.057,0.365,0.158
"P29","No sabe",0.185,0.04,0.023,0.109,0.215
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.717,0.18,0.166,0.472,0.146
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.098,0.335,0.694,0.166,0.392
"P30","En blanco",0.102,0.318,0.07,0.362,0.259
"P30","No sabe",0.083,0.167,0.07,0,0.203
"P38","Inflación",0.4,0.347,0.334,0.339,0.195
"P38","Desempleo",0.068,0.041,0.111,0.109,0.179
"P38","Corrupción",0.174,0.397,0.318,0.309,0.299
"P38","Inseguridad",0.053,0.128,0.166,0.015,0.063
"P38","Precio del dólar",0.059,0.006,0.022,0,0
"P38","Pobreza",0.103,0.029,0.006,0.184,0.051
"P38","Narcotráfico",0.003,0.004,0,0.028,0.017
"P38","Tarifas",0.004,0.004,0.004,0.016,0.011
"P38","Otro",0.107,0.029,0.033,0,0.151
"P38","No sabe",0.029,0.015,0.006,0,0.034
