"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P10","Unión por la Patria",0.711,0.066,0.105,0.121,0.084,0.082,0.077
"P10","Juntos por el Cambio",0.168,0.837,0.111,0.162,0.167,0.072,0.049
"P10","De los liberales libertarios",0.074,0.068,0.687,0.059,0.19,0.107,0.141
"P10","De la Izquierda",0.023,0.008,0.024,0.61,0.064,0.087,0.02
"P10","Hacemos por nuestro país",0.001,0.003,0.025,0,0.398,0.174,0.022
"P10","Otro",0.008,0.005,0.023,0.048,0.02,0.234,0.07
"P10","En blanco",0.001,0.001,0.021,0,0.019,0.144,0.287
"P10","No sabe",0.014,0.012,0.004,0,0.058,0.1,0.334
"P16","Union por la Patria",0.709,0.081,0.144,0.213,0.088,0.078,0.151
"P16","Cambiemos",0.167,0.849,0.274,0.068,0.43,0.325,0.168
"P16","Liberales",0.062,0.042,0.518,0.015,0.062,0.084,0.015
"P16","Izquierda",0.022,0.008,0.008,0.619,0.02,0,0.059
"P16","No sabe",0.04,0.02,0.056,0.085,0.4,0.513,0.607
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.709,0.08,0.08,0.278,0.182,0.212,0.222
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.13,0.809,0.29,0.069,0.349,0.294,0.179
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.083,0.056,0.543,0.077,0.155,0.053,0
"P17","La candidata a Jefe de Gobierno de la izquierda",0.022,0.004,0.003,0.438,0.031,0,0.055
"P17","En blanco",0.031,0.024,0.051,0.058,0.171,0.413,0.224
"P17","No sabe",0.025,0.027,0.033,0.08,0.112,0.028,0.32
"P26","Totalmente seguro",0.726,0.74,0.672,0.603,0.492,0.521,0.131
"P26","Bastante seguro",0.113,0.126,0.187,0.167,0.146,0.142,0.079
"P26","Algo seguro",0.108,0.1,0.098,0.171,0.162,0.131,0.094
"P26","Para nada seguro",0.053,0.034,0.043,0.059,0.2,0.206,0.696
"P27","Tiene Decidido que va a ir a votar",0.915,0.936,0.905,0.886,0.745,0.819,0.686
"P27","Tiene dudas sobre si va a ir a  votar",0.071,0.045,0.088,0.059,0.124,0.029,0.256
"P27","Tiene Decidido que no va a ir a votar",0.014,0.019,0.007,0.055,0.131,0.152,0.058
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.848,0.063,0.109,0.456,0.184,0.227,0.298
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.089,0.864,0.368,0.092,0.49,0.14,0.177
"P28","En blanco",0.026,0.034,0.341,0.057,0.217,0.331,0.052
"P28","No sabe",0.037,0.039,0.182,0.395,0.109,0.302,0.473
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.316,0.839,0.119,0.454,0.47,0.347,0.159
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.09,0.122,0.825,0.082,0.216,0.218,0.098
"P29","En blanco",0.393,0.014,0.031,0.404,0.262,0.173,0.265
"P29","No sabe",0.201,0.025,0.025,0.06,0.052,0.262,0.478
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.799,0.177,0.104,0.444,0.098,0.119,0.274
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.053,0.278,0.819,0.153,0.414,0.226,0.166
"P30","En blanco",0.074,0.346,0.052,0.369,0.401,0.367,0.223
"P30","No sabe",0.074,0.199,0.025,0.034,0.087,0.288,0.337
"P38","Inflación",0.401,0.32,0.403,0.349,0.198,0.111,0.193
"P38","Desempleo",0.109,0.04,0.058,0.049,0.07,0.294,0.185
"P38","Corrupción",0.1,0.429,0.326,0.28,0.448,0.429,0.261
"P38","Inseguridad",0.116,0.128,0.116,0.045,0.011,0,0.018
"P38","Precio del dólar",0.066,0.002,0.017,0.007,0,0,0
"P38","Pobreza",0.102,0.018,0.031,0.18,0.19,0,0.042
"P38","Narcotráfico",0.005,0.005,0,0,0,0,0.045
"P38","Tarifas",0.004,0.005,0.003,0,0,0,0.027
"P38","Otro",0.082,0.03,0.036,0.09,0.083,0.166,0.132
"P38","No sabe",0.015,0.023,0.01,0,0,0,0.097
