"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P26","Totalmente seguro",0.681,0.739,0.653,0.695,0.344,0.441,0.39
"P26","Bastante seguro",0.133,0.129,0.156,0.123,0.295,0.06,0.05
"P26","Algo seguro",0.114,0.082,0.133,0.094,0.239,0.19,0.049
"P26","Para nada seguro",0.072,0.05,0.058,0.088,0.122,0.309,0.511
"P27","Tiene Decidido que va a ir a votar",0.914,0.922,0.89,0.857,0.925,0.705,0.731
"P27","Tiene dudas sobre si va a ir a  votar",0.056,0.061,0.09,0.097,0.075,0.125,0.172
"P27","Tiene Decidido que no va a ir a votar",0.03,0.017,0.02,0.046,0,0.17,0.097
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.836,0.082,0.089,0.444,0.315,0.142,0.063
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.086,0.853,0.346,0.095,0.359,0.15,0.356
"P28","En blanco",0.049,0.022,0.359,0.149,0.075,0.063,0.204
"P28","No sabe",0.029,0.043,0.206,0.312,0.251,0.645,0.377
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.336,0.805,0.135,0.422,0.481,0.166,0.128
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.096,0.136,0.754,0.078,0.38,0.305,0.303
"P29","En blanco",0.377,0.023,0.072,0.392,0.08,0.157,0.452
"P29","No sabe",0.191,0.036,0.039,0.108,0.059,0.372,0.117
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.793,0.167,0.107,0.436,0.163,0.163,0.077
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.064,0.289,0.751,0.057,0.503,0.353,0.351
"P30","En blanco",0.07,0.347,0.1,0.426,0.245,0.145,0.475
"P30","No sabe",0.073,0.197,0.042,0.081,0.089,0.339,0.097
"P38","Inflación",0.405,0.321,0.369,0.162,0.388,0.142,0.194
"P38","Desempleo",0.086,0.048,0.086,0.064,0,0.351,0.055
"P38","Corrupción",0.14,0.426,0.304,0.315,0.407,0.146,0.522
"P38","Inseguridad",0.121,0.113,0.105,0.074,0.028,0.129,0.046
"P38","Precio del dólar",0.04,0.005,0.032,0.05,0,0,0
"P38","Pobreza",0.096,0.021,0.049,0.238,0.12,0,0
"P38","Narcotráfico",0.001,0.008,0.005,0,0,0,0
"P38","Tarifas",0.004,0.005,0.003,0,0,0,0.06
"P38","Otro",0.082,0.038,0.033,0.089,0.057,0.232,0
"P38","No sabe",0.025,0.015,0.014,0.008,0,0,0.123
