"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P10","Unión por la Patria",0.246,0.175,0.27
"P10","Juntos por el Cambio",0.423,0.315,0.177
"P10","De los liberales libertarios",0.222,0.279,0.152
"P10","De la Izquierda",0.042,0.061,0.081
"P10","Hacemos por nuestro país",0.029,0.03,0
"P10","Otro",0.013,0.029,0.109
"P10","En blanco",0.011,0.035,0.057
"P10","No sabe",0.014,0.076,0.154
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.245,0.242,0.133
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.407,0.247,0.305
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.229,0.282,0.069
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.047,0.039,0.106
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.034,0.072,0.215
"P13","En blanco",0.015,0.007,0.101
"P13","No sabe",0.023,0.111,0.071
"P16","Union por la Patria",0.272,0.197,0.188
"P16","Cambiemos",0.472,0.377,0.434
"P16","Liberales",0.161,0.166,0.065
"P16","Izquierda",0.043,0.005,0.04
"P16","No sabe",0.052,0.255,0.273
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.255,0.283,0.231
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.462,0.222,0.332
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.178,0.21,0.086
"P17","La candidata a Jefe de Gobierno de la izquierda",0.031,0.022,0.042
"P17","En blanco",0.039,0.132,0.236
"P17","No sabe",0.035,0.131,0.073
"P26","Totalmente seguro",0.722,0.319,0.32
"P26","Bastante seguro",0.125,0.318,0.107
"P26","Algo seguro",0.092,0.218,0.337
"P26","Para nada seguro",0.061,0.145,0.236
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.306,0.227,0.262
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.495,0.352,0.355
"P28","En blanco",0.105,0.215,0.167
"P28","No sabe",0.094,0.206,0.216
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.509,0.293,0.411
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.269,0.375,0.173
"P29","En blanco",0.143,0.192,0.229
"P29","No sabe",0.079,0.14,0.187
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.335,0.265,0.149
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.331,0.336,0.42
"P30","En blanco",0.216,0.229,0.232
"P30","No sabe",0.118,0.17,0.199
"P38","Inflación",0.35,0.368,0.162
"P38","Desempleo",0.071,0.044,0.069
"P38","Corrupción",0.315,0.251,0.511
"P38","Inseguridad",0.112,0.097,0.026
"P38","Precio del dólar",0.021,0.026,0.044
"P38","Pobreza",0.058,0.055,0
"P38","Narcotráfico",0.004,0.019,0
"P38","Tarifas",0.003,0.018,0
"P38","Otro",0.049,0.104,0.143
"P38","No sabe",0.017,0.018,0.045
"P10_imputada","Unión por la Patria",0.25,0.195,0.293
"P10_imputada","Juntos por el Cambio",0.43,0.363,0.278
"P10_imputada","De los liberales libertarios",0.224,0.288,0.182
"P10_imputada","De la Izquierda",0.042,0.061,0.081
"P10_imputada","Hacemos por nuestro país",0.029,0.03,0
"P10_imputada","Otro",0.013,0.028,0.109
"P10_imputada","En blanco",0.012,0.035,0.057
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.252,0.282,0.152
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.417,0.292,0.305
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.235,0.301,0.101
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.047,0.039,0.106
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.034,0.072,0.215
"P13_imputada","En blanco",0.015,0.014,0.121
"P16_imputada","Union por la Patria",0.284,0.28,0.231
"P16_imputada","Cambiemos",0.497,0.52,0.664
"P16_imputada","Liberales",0.173,0.195,0.065
"P16_imputada","Izquierda",0.046,0.005,0.04
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.267,0.323,0.258
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.475,0.268,0.333
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.181,0.238,0.11
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.035,0.022,0.042
"P17_imputada","En blanco",0.042,0.149,0.257
