"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Muy de derecha",0.19,0.158,0.221,0.305,0.129,0.186,0.155,0.271,0.172,0.115,0.181,0.229,0.21,0.177,0.188,0.158,0.091
"De derecha",0.12,0.125,0.115,0.068,0.161,0.112,0.119,0.146,0.111,0.101,0.111,0.161,0.098,0.11,0.123,0.108,0.223
"De centro",0.117,0.117,0.117,0.091,0.128,0.113,0.139,0.092,0.127,0.133,0.11,0.082,0.173,0.132,0.17,0.081,0.117
"De centro izquierda",0.262,0.279,0.246,0.233,0.253,0.282,0.303,0.246,0.23,0.335,0.249,0.233,0.331,0.276,0.363,0.206,0.298
"Muy de izquierda",0.311,0.321,0.301,0.303,0.329,0.307,0.284,0.245,0.36,0.316,0.349,0.295,0.188,0.305,0.156,0.447,0.271
