"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Sergio Massa por el Frente de Todos",0.188,0.178,0.197,0.129,0.21,0.205,0.223,0.199,0.172,0.199,0.178,0.138,0.183,0.222,0.372,0.064,0.122
"Horacio Rodriguez Larreta por Juntos por el Cambio",0.108,0.095,0.119,0.086,0.11,0.109,0.145,0.097,0.11,0.121,0.118,0.098,0.085,0.108,0.065,0.179,0.188
"Patricia Bulrich por Juntos por el Cambio",0.193,0.166,0.218,0.132,0.16,0.257,0.304,0.169,0.202,0.213,0.196,0.159,0.143,0.215,0.094,0.357,0.178
"Javier Milei por La Libertad Avanza",0.262,0.33,0.199,0.343,0.275,0.21,0.144,0.231,0.296,0.248,0.268,0.33,0.311,0.215,0.151,0.311,0.321
"Al candidato del Frente de Izquierda",0.032,0.039,0.027,0.04,0.031,0.027,0.028,0.029,0.023,0.053,0.04,0.014,0.021,0.036,0.045,0.004,0.052
"No sabe",0.217,0.192,0.24,0.27,0.214,0.192,0.156,0.275,0.197,0.166,0.2,0.261,0.257,0.204,0.273,0.085,0.139
