"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Si",0.453,0.466,0.442,0.42,0.475,0.482,0.419,0.468,0.429,0.473,0.455,0.517,0.486,0.415,0.548,0.424,0.392
"No",0.547,0.534,0.558,0.58,0.525,0.518,0.581,0.532,0.571,0.527,0.545,0.483,0.514,0.585,0.452,0.576,0.608
