"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Si, habitualmente",0.211,0.239,0.186,0.182,0.182,0.258,0.277,0.201,0.209,0.231,0.211,0.21,0.197,0.215,0.227,0.242,0.142
"Algunas veces",0.366,0.336,0.394,0.295,0.392,0.398,0.394,0.301,0.381,0.435,0.343,0.375,0.356,0.383,0.375,0.38,0.488
"Nunca, pero esta es una excepción",0.423,0.425,0.42,0.523,0.426,0.344,0.329,0.498,0.41,0.334,0.446,0.415,0.447,0.402,0.398,0.378,0.37
