"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Si",0.425,0.46,0.394,0.46,0.43,0.446,0.327,0.432,0.402,0.454,0.446,0.477,0.409,0.386,0.478,0.413,0.346
"No",0.575,0.54,0.606,0.54,0.57,0.554,0.673,0.568,0.598,0.546,0.554,0.523,0.591,0.614,0.522,0.587,0.654
