"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Perotti/Rodenas","Bonfatti/Tejeda","Corral/Martínez","Rosario","Santa Fe","Norte","Sur"
"Siempre",0.196,0.203,0.19,0.154,0.2,0.185,0.273,0.223,0.186,0.173,0.2,0.276,0.088,0.251,0.217,0.235,0.188,0.193,0.226,0.185
"Casi siempre",0.265,0.245,0.284,0.195,0.285,0.246,0.362,0.214,0.302,0.279,0.35,0.311,0.195,0.316,0.352,0.391,0.236,0.277,0.299,0.264
"Casi nunca",0.291,0.276,0.305,0.348,0.323,0.205,0.238,0.304,0.327,0.218,0.284,0.271,0.634,0.292,0.288,0.264,0.312,0.3,0.319,0.25
"Nunca, pero esta es una excepción",0.248,0.276,0.221,0.303,0.192,0.364,0.127,0.259,0.185,0.33,0.166,0.142,0.083,0.141,0.143,0.11,0.264,0.23,0.156,0.301
