"var","categoria","Unidos para Cambiar Santa Fe","Juntos Avancemos","De los liberales libertarios","De la Izquierda","En blanco","No sabe"
"P11_imputada","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe",0.176,0.358,0.309,0.097,0.085,0.259
"P11_imputada","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.212,0.274,0.192,0.084,0.131,0.241
"P11_imputada","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe",0.086,0.042,0.13,0.056,0.131,0.083
"P11_imputada","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.276,0.167,0.046,0.106,0.118,0.182
"P11_imputada","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos",0.142,0.085,0.038,0.081,0.057,0.042
"P11_imputada","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos",0.053,0.037,0.093,0.045,0.062,0.096
"P11_imputada","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos",0.041,0.015,0.009,0.155,0.024,0.028
"P11_imputada","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda",0.01,0.002,0.008,0.306,0,0.025
"P11_imputada","En blanco",0.004,0.02,0.175,0.07,0.392,0.044
