"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P05","Mucho",0.358,0.371,0.438,0.197
"P05","Bastante",0.211,0.335,0.243,0.268
"P05","Poco",0.22,0.204,0.153,0.239
"P05","Nada",0.154,0.071,0.157,0.215
"P05","No sabe",0.057,0.019,0.009,0.081
"P06","Siempre",0.265,0.248,0.237,0.194
"P06","Casi siempre",0.269,0.383,0.337,0.317
"P06","Casi nunca",0.348,0.265,0.303,0.29
"P06","Nunca, pero esta es una excepción",0.118,0.104,0.123,0.199
"P09","De Unión por la Patria",0.242,0.212,0.272,0.185
"P09","De Juntos por el Cambio",0.401,0.461,0.346,0.286
"P09","De los liberales libertarios",0.116,0.127,0.178,0.13
"P09","De la Izquierda",0.034,0.041,0.023,0.022
"P09","Hacemos por Nuestro País",0.046,0.013,0.01,0.033
"P09","otro",0.06,0.029,0.047,0.073
"P09","En blanco",0.034,0.057,0.065,0.074
"P09","No sabe",0.067,0.06,0.059,0.197
"P10","Unidos para Cambiar Santa Fe",0.328,0.323,0.235,0.21
"P10","Juntos Avancemos",0.293,0.305,0.317,0.161
"P10","De los liberales libertarios",0.095,0.134,0.15,0.101
"P10","De la Izquierda",0.043,0.036,0.045,0.031
"P10","En blanco",0.071,0.019,0.089,0.09
"P10","No sabe",0.17,0.183,0.164,0.407
"P11","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe",0.108,0.287,0.249,0.17
"P11","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.248,0.257,0.158,0.221
"P11","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe",0.337,0.084,0.028,0.038
"P11","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.158,0.134,0.195,0.104
"P11","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos",0.027,0.106,0.078,0.071
"P11","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos",0.034,0.027,0.067,0.053
"P11","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos",0.029,0.031,0.022,0.028
"P11","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda",0.002,0.019,0.032,0.006
"P11","En blanco",0.024,0.014,0.098,0.069
"P11","No sabe",0.033,0.041,0.073,0.24
"P15","Lo votaría",0.231,0.078,0.115,0.047
"P15","Puede que lo vote",0.092,0.257,0.141,0.123
"P15","Nunca lo votaría",0.386,0.358,0.505,0.119
"P15","No sabe",0.291,0.307,0.239,0.711
"P16","La votaría",0.198,0.226,0.226,0.118
"P16","Puede que la vote",0.185,0.21,0.123,0.161
"P16","Nunca la votaría",0.502,0.5,0.59,0.277
"P16","No sabe",0.115,0.064,0.061,0.444
"P17","Lo votaría",0.353,0.304,0.169,0.168
"P17","Puede que lo vote",0.217,0.251,0.128,0.18
"P17","Nunca lo votaría",0.351,0.37,0.664,0.221
"P17","No sabe",0.079,0.075,0.039,0.431
"P18","La votaría",0.206,0.117,0.074,0.036
"P18","Puede que la vote",0.097,0.24,0.089,0.065
"P18","Nunca la votaría",0.394,0.356,0.647,0.105
"P18","No sabe",0.303,0.287,0.19,0.794
"P20","Lo votaría",0.423,0.139,0.197,0.084
"P20","Puede que lo vote",0.084,0.356,0.105,0.078
"P20","Nunca lo votaría",0.426,0.374,0.638,0.202
"P20","No sabe",0.067,0.131,0.06,0.636
"P21","Lo votaría",0.17,0.141,0.116,0.085
"P21","Puede que lo vote",0.126,0.224,0.125,0.079
