"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Perotti/Rodenas","Bonfatti/Tejeda","Corral/Martínez","Rosario","Santa Fe","Norte","Sur"
"La votaría",0.072,0.077,0.066,0.049,0.078,0.079,0.082,0.062,0.058,0.105,0.125,0.03,0.074,0.144,0.047,0.031,0.043,0.13,0.078,0.073
"Puede que la vote",0.105,0.118,0.092,0.162,0.088,0.11,0.05,0.086,0.109,0.124,0.134,0.072,0.144,0.132,0.101,0.057,0.098,0.2,0.1,0.079
"Nunca la votaría",0.462,0.459,0.466,0.431,0.503,0.472,0.407,0.479,0.467,0.432,0.392,0.518,0.505,0.372,0.558,0.541,0.514,0.454,0.482,0.402
"No sabe",0.361,0.346,0.376,0.358,0.331,0.339,0.461,0.373,0.366,0.339,0.349,0.38,0.277,0.352,0.294,0.371,0.345,0.216,0.34,0.446
