"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Perotti/Rodenas","Bonfatti/Tejeda","Corral/Martínez","Rosario","Santa Fe","Norte","Sur"
"Juntos Avancemos",0.26,0.254,0.267,0.268,0.213,0.285,0.324,0.23,0.274,0.28,0.253,0.357,0.136,0.251,0.303,0.416,0.238,0.27,0.258,0.28
"Unidos para Cambiar Santa Fe",0.241,0.256,0.227,0.173,0.254,0.277,0.267,0.246,0.2,0.297,0.323,0.206,0.305,0.338,0.278,0.21,0.231,0.252,0.22,0.26
"De los liberales libertarios",0.129,0.175,0.085,0.164,0.143,0.114,0.066,0.142,0.14,0.094,0.073,0.133,0.239,0.097,0.084,0.143,0.151,0.094,0.147,0.108
"De la Izquierda",0.047,0.049,0.044,0.034,0.061,0.044,0.036,0.055,0.037,0.05,0.062,0.015,0.069,0.04,0.063,0.009,0.06,0.063,0.042,0.031
"En blanco",0.087,0.064,0.108,0.129,0.088,0.067,0.047,0.076,0.11,0.066,0.094,0.065,0.061,0.075,0.059,0.061,0.111,0.054,0.097,0.07
"No sabe",0.236,0.202,0.269,0.232,0.241,0.213,0.26,0.251,0.239,0.213,0.195,0.224,0.19,0.199,0.213,0.161,0.209,0.267,0.236,0.251
