"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Perotti/Rodenas","Bonfatti/Tejeda","Corral/Martínez","Rosario","Santa Fe","Norte","Sur"
"La votaría",0.106,0.124,0.089,0.094,0.101,0.124,0.113,0.121,0.103,0.09,0.099,0.104,0.159,0.074,0.214,0.065,0.156,0.057,0.093,0.086
"Puede que la vote",0.169,0.183,0.154,0.141,0.166,0.203,0.171,0.159,0.139,0.225,0.168,0.18,0.186,0.146,0.22,0.198,0.179,0.13,0.157,0.18
"Nunca la votaría",0.479,0.485,0.474,0.484,0.489,0.466,0.467,0.391,0.548,0.494,0.496,0.482,0.477,0.545,0.363,0.556,0.503,0.449,0.449,0.488
"No sabe",0.246,0.208,0.283,0.281,0.244,0.207,0.249,0.329,0.21,0.191,0.237,0.234,0.178,0.235,0.203,0.181,0.162,0.364,0.301,0.246
