"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Muy positiva",0.441,0.473,0.408,0.481,0.415,0.439,0.457,0.515,0.359,0.487,0.525,0.491,0.032,0.436,0.417,0.465,0.54,0.29,0.193,0.431,0.356
"Positiva",0.225,0.242,0.206,0.257,0.25,0.225,0.116,0.159,0.274,0.236,0.217,0.147,0.581,0.202,0.24,0.168,0.296,0.219,0.058,0.184,0.343
"Neutral",0.207,0.155,0.261,0.204,0.223,0.159,0.248,0.209,0.219,0.174,0.182,0.297,0.235,0.245,0.152,0.246,0.104,0.146,0.5,0.194,0.233
"Algo negativa",0.042,0.043,0.041,0.058,0.029,0.038,0.062,0.015,0.069,0.033,0.025,0.002,0,0.025,0.085,0.034,0.011,0.194,0.079,0.052,0.012
"Negativa",0.056,0.059,0.054,0,0.068,0.086,0.052,0.072,0.044,0.053,0.041,0.045,0.152,0.06,0.057,0.053,0.022,0.123,0.126,0.099,0.041
"No sabe",0.029,0.028,0.03,0,0.015,0.053,0.065,0.03,0.035,0.017,0.01,0.018,0,0.032,0.049,0.034,0.027,0.028,0.044,0.04,0.015
