"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P05","Mucho",0.399,0.442,0.252,0.415,0.551,0.271
"P05","Bastante",0.383,0.237,0.37,0.489,0.201,0.472
"P05","Poco",0.152,0.22,0.289,0.074,0.089,0.168
"P05","Nada",0.049,0.073,0.076,0.022,0.159,0.057
"P05","No sabe",0.017,0.028,0.013,0,0,0.032
"P06","Siempre",0.217,0.22,0.165,0.227,0.348,0.207
"P06","Casi siempre",0.366,0.338,0.343,0.536,0.23,0.32
"P06","Casi nunca",0.272,0.295,0.312,0.141,0.375,0.238
"P06","Nunca, pero esta es una excepción",0.145,0.147,0.18,0.096,0.047,0.235
"P10","Unión por la Patria",0.518,0.359,0.2,0.037,0.166,0.297
"P10","Juntos por el Cambio",0.089,0.129,0.347,0.565,0.721,0.133
"P10","De los Liberales libertarios",0.193,0.222,0.226,0.36,0.065,0.164
"P10","De la Izquierda",0.027,0.03,0.04,0,0,0.16
"P10","Hacemos por nuestro país",0.009,0.037,0.016,0,0.018,0.014
"P10","En blanco",0.08,0.101,0.017,0.038,0.017,0.072
"P10","No sabe",0.084,0.122,0.154,0,0.013,0.16
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.573,0.416,0.214,0.375,0.146,0.491
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.068,0.107,0.362,0.298,0.601,0.134
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.205,0.305,0.261,0.314,0.074,0.164
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.013,0.012,0.007,0,0.012,0.014
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.04,0.025,0.016,0.013,0,0.034
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.043,0.006,0.013,0,0.137,0
"P13","En blanco",0.001,0.038,0.022,0,0.03,0
"P13","No sabe",0.057,0.091,0.105,0,0,0.163
"P16","Si",0.328,0.366,0.52,0.505,0.235,0.408
"P16","No",0.672,0.634,0.48,0.495,0.765,0.592
"P17","Sergio Massa a presidente por Unión por la Patria.",0.644,0.278,0.142,0.514,0.066,0.778
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.058,0.275,0.225,0.169,0.458,0.08
"P17","Javier Milei a presidente por la Libertad Avanza",0.213,0.101,0.541,0.233,0.476,0
"P17","Los candidatos a presidente de la Izquierda",0.033,0.047,0.022,0,0,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.035,0.006,0.034,0.084,0,0
"P17","En blanco",0.002,0.126,0.015,0,0,0
"P17","No sabe",0.015,0.167,0.021,0,0,0.142
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.625,0.64,0.221,0.503,0.032,0.778
