"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Sergio Massa a presidente por Unión por la Patria.",0.438,0.385,0.488,0.344,0.464,0.453,0.525,0.469,0.436,0.369,0.332,0.495,0.2,0.438,0.494,0.448,0.804,0.255,0.103,0.025,0.42
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.198,0.153,0.241,0.163,0.146,0.259,0.3,0.18,0.219,0.187,0.231,0.126,0.22,0.331,0.165,0.239,0.066,0.503,0.706,0.072,0.198
"Javier Milei a presidente por la Libertad Avanza",0.257,0.377,0.143,0.3,0.289,0.248,0.106,0.251,0.26,0.265,0.274,0.261,0.489,0.185,0.235,0.258,0.101,0.156,0.164,0.815,0.216
"Los candidatos a presidente de la Izquierda",0.042,0.03,0.053,0.063,0.053,0.017,0.011,0.023,0.025,0.128,0.059,0.048,0,0.013,0.05,0.016,0.003,0,0,0.05,0.017
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.039,0.031,0.047,0.097,0.014,0.018,0.032,0.066,0.02,0.026,0.067,0.063,0,0.031,0.03,0.01,0.011,0.086,0.027,0.009,0.097
"En blanco",0.026,0.024,0.028,0.033,0.034,0.005,0.026,0.011,0.04,0.025,0.037,0.007,0.091,0.002,0.026,0.029,0.015,0,0,0.029,0.052
