"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.434,0.4,0.467,0.36,0.443,0.449,0.525,0.455,0.439,0.374,0.342,0.498,0.206,0.385,0.488,0.45,0.842,0.145,0.095,0.038,0.375
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.203,0.156,0.247,0.125,0.177,0.265,0.309,0.182,0.227,0.188,0.207,0.154,0.209,0.333,0.174,0.248,0.03,0.63,0.803,0.062,0.135
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.238,0.351,0.129,0.298,0.273,0.225,0.059,0.236,0.234,0.254,0.259,0.238,0.373,0.157,0.233,0.232,0.097,0.14,0.098,0.777,0.223
"Raul Othacehé a intendente por el frente vecinal crecer",0.028,0.017,0.039,0.042,0.015,0.023,0.044,0.039,0.015,0.038,0.019,0.008,0.069,0.008,0.049,0.016,0.001,0,0.002,0.039,0.201
"Los candidatos a presidente, gobernador e intendente de la Izquierda",0.038,0.032,0.043,0.061,0.042,0.016,0.021,0.029,0.011,0.124,0.058,0.049,0,0.021,0.034,0.023,0.002,0.003,0,0.053,0.024
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.027,0.026,0.028,0.06,0.022,0.009,0.006,0.038,0.02,0.019,0.054,0.045,0.12,0.026,0.001,0.003,0.007,0.082,0.002,0.027,0.009
"En blanco",0.032,0.018,0.047,0.054,0.028,0.013,0.036,0.021,0.054,0.003,0.061,0.008,0.023,0.07,0.021,0.028,0.021,0,0,0.004,0.033
