"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Axel Kicillof a gobernador por Unión por la Patria.",0.446,0.411,0.479,0.37,0.446,0.475,0.542,0.498,0.412,0.406,0.373,0.443,0.201,0.333,0.524,0.49,0.83,0.239,0.114,0.05,0.502
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.194,0.169,0.22,0.105,0.173,0.272,0.296,0.188,0.206,0.181,0.203,0.192,0.327,0.248,0.157,0.209,0.021,0.499,0.727,0.088,0.292
"Carolina Piparo a gobernadora por la Libertad Avanza",0.222,0.299,0.147,0.309,0.252,0.168,0.066,0.17,0.267,0.233,0.252,0.159,0.371,0.218,0.218,0.228,0.09,0.162,0.114,0.762,0.128
"El candidato a gobernador de la Izquierda",0.038,0.031,0.045,0.067,0.045,0.008,0.013,0.03,0.013,0.121,0.062,0.051,0,0.008,0.04,0.01,0.004,0,0,0.057,0.015
"En blanco",0.027,0.04,0.015,0.061,0.014,0.007,0.029,0.037,0.019,0.025,0.022,0.056,0,0.038,0.016,0.029,0.005,0.092,0,0.032,0.021
"No sabe",0.073,0.05,0.094,0.088,0.07,0.07,0.054,0.077,0.083,0.034,0.088,0.099,0.101,0.155,0.045,0.034,0.05,0.008,0.045,0.011,0.042
