"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Muy positiva",0.391,0.391,0.391,0.402,0.333,0.447,0.428,0.362,0.381,0.466,0.517,0.329,0.114,0.452,0.335,0.472,0.498,0.335,0.245,0.15,0.325
"Positiva",0.213,0.213,0.212,0.26,0.192,0.21,0.209,0.121,0.284,0.223,0.095,0.226,0.499,0.203,0.261,0.161,0.269,0.18,0.138,0.199,0.36
"Neutral",0.198,0.225,0.169,0.15,0.27,0.152,0.156,0.228,0.166,0.212,0.173,0.219,0.235,0.237,0.177,0.227,0.1,0.203,0.318,0.289,0.27
"Algo negativa",0.048,0.048,0.048,0.062,0.031,0.058,0.054,0.099,0.018,0.021,0.091,0.025,0,0.022,0.056,0.019,0.036,0.041,0.011,0.131,0.016
"Negativa",0.062,0.073,0.051,0,0.097,0.069,0.048,0.066,0.06,0.062,0.05,0.031,0.152,0.043,0.075,0.066,0.042,0.083,0.111,0.146,0.022
"No sabe",0.088,0.05,0.129,0.126,0.077,0.064,0.105,0.124,0.091,0.016,0.074,0.17,0,0.043,0.096,0.055,0.055,0.158,0.177,0.085,0.007
