"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Si",0.381,0.371,0.392,0.439,0.367,0.419,0.295,0.34,0.421,0.367,0.564,0.316,0.345,0.221,0.387,0.293,0.352,0.366,0.354,0.411,0.352
"No",0.619,0.629,0.608,0.561,0.633,0.581,0.705,0.66,0.579,0.633,0.436,0.684,0.655,0.779,0.613,0.707,0.648,0.634,0.646,0.589,0.648
