"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Mucho",0.316,0.386,0.251,0.281,0.337,0.312,0.34,0.273,0.302,0.469,0.352,0.209,0.287,0.336,0.326,0.367,0.412,0.341,0.365,0.381,0.162
"Bastante",0.301,0.293,0.308,0.325,0.287,0.33,0.236,0.242,0.355,0.295,0.283,0.312,0.246,0.333,0.343,0.203,0.288,0.314,0.233,0.468,0.42
"Poco",0.212,0.167,0.255,0.211,0.209,0.204,0.24,0.235,0.22,0.13,0.198,0.264,0.195,0.204,0.188,0.237,0.18,0.169,0.217,0.101,0.245
"Nada",0.109,0.107,0.109,0.106,0.116,0.097,0.109,0.135,0.098,0.071,0.078,0.124,0.202,0.102,0.091,0.153,0.085,0.111,0.14,0.046,0.124
"No sabe",0.062,0.047,0.077,0.077,0.051,0.057,0.075,0.115,0.025,0.035,0.089,0.091,0.07,0.025,0.052,0.04,0.035,0.065,0.045,0.004,0.049
