"var","categoria","No, ninguna dificultad","Alguna dificultad ocasional","Sí, dificultades frecuentes"
"P05","Mucho",0.441,0.344,0.304
"P05","Bastante",0.302,0.325,0.317
"P05","Poco",0.17,0.213,0.19
"P05","Nada",0.063,0.105,0.144
"P05","No sabe",0.024,0.013,0.045
"P06","Siempre",0.224,0.172,0.227
"P06","Casi siempre",0.382,0.329,0.252
"P06","Casi nunca",0.301,0.293,0.369
"P06","Nunca, pero esta es una excepción",0.093,0.206,0.152
"P10","Unión por la Patria",0.541,0.356,0.238
"P10","Juntos por el Cambio",0.203,0.206,0.206
"P10","De los Liberales libertarios",0.08,0.191,0.306
"P10","De la Izquierda",0.038,0.035,0.048
"P10","Hacemos por nuestro país",0.01,0.016,0.01
"P10","En blanco",0.066,0.09,0.055
"P10","No sabe",0.062,0.106,0.137
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.643,0.381,0.331
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.169,0.208,0.179
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.115,0.239,0.321
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.017,0.001,0.017
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.031,0.043,0.006
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.003,0.016,0.046
"P13","En blanco",0.003,0.029,0.008
"P13","No sabe",0.019,0.083,0.092
"P16","Si",0.426,0.486,0.336
"P16","No",0.574,0.514,0.664
"P17","Sergio Massa a presidente por Unión por la Patria.",0.565,0.31,0.369
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.176,0.183,0.168
"P17","Javier Milei a presidente por la Libertad Avanza",0.109,0.319,0.384
"P17","Los candidatos a presidente de la Izquierda",0.057,0.032,0.011
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.051,0.016,0.03
"P17","En blanco",0,0.063,0.012
"P17","No sabe",0.042,0.077,0.026
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.639,0.487,0.425
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.159,0.162,0.281
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.037,0.23,0.23
"P20","El candidato a gobernador de la Izquierda",0.026,0.019,0.009
"P20","En blanco",0.01,0.013,0.004
"P20","No sabe",0.129,0.089,0.051
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",0.242,0.386,0.116
"P23","Zencich a intendente por Juntos por el Cambio",0.118,0.155,0.185
"P23","Eduardo Varela a intendente por la Libertad Avanza",0.013,0.205,0.213
"P23","Raul Othacehé a intendente por el frente vecinal crecer",0.132,0.058,0.202
"P23","El candidato a intendente de la Izquierda",0.276,0.061,0.167
"P23","En blanco",0.166,0.021,0.018
"P23","No sabe",0.053,0.114,0.099
"P26","Totalmente seguro.",0.696,0.596,0.676
"P26","Bastante seguro",0.228,0.207,0.132
"P26","Algo seguro",0.013,0.093,0.092
"P26","Para nada seguro",0.063,0.104,0.1
"P27","Tiene Decidido que va a ir a votar.",0.972,0.887,0.865
"P27","Tiene dudas sobre si va a ir a  votar",0.008,0.09,0.103
"P27","Tiene Decidido que no va a ir a votar",0.02,0.023,0.032
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.204,0.389,0.572
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.203,0.203,0.074
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.337,0.241,0.134
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.07,0.089,0.047
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.094,0.058,0.084
"P28","No sabe",0.092,0.02,0.089
"P29","No estaba enterado del tema",0.068,0.112,0.124
"P29","Un tema de la vida privada de él",0.145,0.136,0.084
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.444,0.287,0.157
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.118,0.157,0.321
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.127,0.248,0.267
"P29","No sabe",0.098,0.06,0.047
"P30","Si",0.859,0.8,0.782
"P30","No",0.141,0.2,0.218
"P31","Sergio Massa",0.597,0.31,0.265
"P31","Patria Bullrich",0.112,0.169,0.145
"P31","Javier Milei",0.119,0.232,0.373
"P31","Myriam Bregman",0.145,0.21,0.17
"P31","Juan Schiaretti",0.027,0.079,0.047
"P32","Ha aumentado significativamente",0.257,0.06,0.091
"P32","Ha aumentado ligeramente",0.284,0.282,0.079
"P32","Se mantiene igual",0.34,0.296,0.251
"P32","Ha disminuido ligeramente",0.081,0.21,0.214
"P32","Ha disminuido significativamente",0.038,0.152,0.365
"P34","Sí, absolutamente",0.654,0.451,0.468
"P34","Sí, en cierta medida",0.23,0.406,0.24
"P34","No, en absoluto",0.116,0.143,0.292
"P35","Reducir la inflación",0.422,0.368,0.371
"P35","Implementar reformas fiscales",0.057,0.103,0.056
"P35","Establecer políticas de control de precios",0.262,0.208,0.117
"P35","Reducir el gasto público",0.129,0.265,0.401
"P35","Estimular la inversión extranjera",0.032,0.02,0.047
"P35","Aumentar los subsidios a los servicios públicos",0.098,0.036,0.008
"P36","Muy positiva",0.232,0.167,0.16
"P36","Positiva",0.233,0.254,0.109
"P36","Neutral",0.269,0.243,0.209
"P36","Algo negativa",0.044,0.058,0.13
"P36","Negativa",0.039,0.044,0.121
"P36","No sabe",0.183,0.234,0.271
"P37","Muy positiva",0.625,0.375,0.284
"P37","Positiva",0.115,0.204,0.262
"P37","Neutral",0.156,0.193,0.247
"P37","Algo negativa",0.029,0.06,0.057
"P37","Negativa",0.022,0.035,0.129
"P37","No sabe",0.053,0.133,0.021
"P38","Muy positiva",0.276,0.236,0.194
"P38","Positiva",0.22,0.222,0.207
"P38","Neutral",0.237,0.225,0.288
"P38","Algo negativa",0.087,0.102,0.099
"P38","Negativa",0.027,0.095,0.152
"P38","No sabe",0.153,0.12,0.06
"P39","Muy positiva",0.587,0.419,0.386
"P39","Positiva",0.126,0.303,0.205
"P39","Neutral",0.13,0.174,0.275
"P39","Algo negativa",0.066,0.039,0.033
"P39","Negativa",0.056,0.035,0.075
"P39","No sabe",0.035,0.03,0.026
"P40","Muy positiva",0.514,0.417,0.303
"P40","Positiva",0.153,0.246,0.214
"P40","Neutral",0.13,0.17,0.258
"P40","Algo negativa",0.028,0.038,0.067
"P40","Negativa",0.044,0.064,0.071
"P40","No sabe",0.131,0.065,0.087
"P41","Lo votaría",0.646,0.36,0.201
"P41","Puede que lo vote",0.04,0.064,0.124
"P41","Nunca lo votaría",0.243,0.482,0.575
"P41","No sabe",0.071,0.094,0.1
"P42","Lo votaría",0.086,0.215,0.166
"P42","Puede que lo vote",0.053,0.093,0.137
"P42","Nunca lo votaría",0.787,0.581,0.569
"P42","No sabe",0.074,0.111,0.128
"P43","Lo votaría",0.056,0.203,0.325
"P43","Puede que lo vote",0.063,0.071,0.093
"P43","Nunca lo votaría",0.84,0.685,0.505
"P43","No sabe",0.041,0.041,0.077
"P44","Lo votaría",0.101,0.042,0.179
"P44","Puede que lo vote",0.122,0.139,0.067
"P44","Nunca lo votaría",0.71,0.659,0.634
"P44","No sabe",0.067,0.16,0.12
"P45","Si",0.403,0.33,0.419
"P45","No",0.597,0.67,0.581
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.648,0.366,0.384
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.176,0.221,0.16
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.115,0.245,0.352
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.028,0.066,0.005
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.013,0.017,0.035
"PRESIDENTE","En blanco",0,0.029,0.016
"PRESIDENTE","No sabe",0.02,0.056,0.048
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.674,0.457,0.397
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.16,0.209,0.197
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.099,0.198,0.308
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.019,0.055,0.003
"GOBERNADOR","En blanco",0.005,0.021,0.036
"GOBERNADOR","No sabe",0.043,0.06,0.059
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria.",0.486,0.373,0.289
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.118,0.21,0.163
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.088,0.187,0.301
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.075,0.043,0.078
"INTENDENTE","El candidato a intendente de la Izquierda",0.115,0.07,0.053
"INTENDENTE","En blanco",0.093,0.033,0.039
"INTENDENTE","No sabe",0.025,0.084,0.077
"CORTA_PRESIDENTE","Si",0.05,0.091,0.14
"CORTA_PRESIDENTE","No",0.95,0.909,0.86
"CORTA_GOBERNADOR","Si",0.108,0.145,0.168
"CORTA_GOBERNADOR","No",0.892,0.855,0.832
"CORTA_INTENDENTE","Si",0.291,0.229,0.212
"CORTA_INTENDENTE","No",0.709,0.771,0.788
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.643,0.416,0.376
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.182,0.225,0.201
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.121,0.27,0.326
"P13_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.017,0.001,0.017
"P13_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.031,0.043,0.007
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.003,0.016,0.046
"P13_imputada","En blanco",0.003,0.029,0.027
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.607,0.365,0.379
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.176,0.19,0.172
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.109,0.319,0.393
"P17_imputada","Los candidatos a presidente de la Izquierda",0.057,0.033,0.011
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.051,0.03,0.033
"P17_imputada","En blanco",0,0.063,0.012
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.68,0.503,0.446
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.168,0.178,0.308
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.037,0.235,0.23
"P20_imputada","El candidato a gobernador de la Izquierda",0.025,0.019,0.008
"P20_imputada","En blanco",0.09,0.065,0.008
"P23_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.249,0.46,0.126
"P23_imputada","Zencich a intendente por Juntos por el Cambio",0.162,0.164,0.198
"P23_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.013,0.207,0.287
"P23_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.134,0.065,0.202
"P23_imputada","El candidato a intendente de la Izquierda",0.276,0.066,0.167
"P23_imputada","En blanco",0.166,0.038,0.02
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.661,0.4,0.42
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.176,0.224,0.165
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.122,0.252,0.357
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.028,0.067,0.006
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.013,0.028,0.036
"PRESIDENTE_imputada","En blanco",0,0.029,0.016
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.687,0.471,0.435
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.163,0.216,0.216
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.106,0.206,0.307
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.019,0.055,0.004
"GOBERNADOR_imputada","En blanco",0.025,0.052,0.038
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.489,0.424,0.328
"INTENDENTE_imputada","Zencich a intendente por Juntos por el Cambio",0.132,0.214,0.17
"INTENDENTE_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.094,0.195,0.331
"INTENDENTE_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.076,0.048,0.078
"INTENDENTE_imputada","El candidato a intendente de la Izquierda",0.115,0.073,0.054
"INTENDENTE_imputada","En blanco",0.094,0.046,0.039
