"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P32","Ha aumentado ligeramente",0.302,0.258,0.1,0.016,0.219,0.033
"P32","Se mantiene igual",0.252,0.293,0.281,0.487,0.147,0.179
"P32","Ha disminuido ligeramente",0.197,0.167,0.257,0.191,0.067,0.21
"P32","Ha disminuido significativamente",0.075,0.152,0.334,0.306,0.532,0.414
"P33","No, ninguna dificultad",0.284,0.155,0.143,0.128,0.15,0.321
"P33","Alguna dificultad ocasional",0.397,0.43,0.32,0.297,0.383,0.271
"P33","Sí, dificultades frecuentes",0.319,0.415,0.537,0.575,0.467,0.408
"P34","Sí, absolutamente",0.608,0.587,0.265,0.461,0.313,0.442
"P34","Sí, en cierta medida",0.275,0.262,0.29,0.356,0.229,0.463
"P34","No, en absoluto",0.117,0.151,0.445,0.183,0.458,0.095
"P35","Reducir la inflación",0.455,0.373,0.346,0.166,0.164,0.336
"P35","Implementar reformas fiscales",0.082,0.117,0.035,0.019,0.202,0.072
"P35","Establecer políticas de control de precios",0.2,0.236,0.09,0.149,0.228,0.135
"P35","Reducir el gasto público",0.146,0.264,0.513,0.635,0.383,0.318
"P35","Estimular la inversión extranjera",0.071,0.008,0.016,0.031,0.017,0.004
"P35","Aumentar los subsidios a los servicios públicos",0.046,0.002,0,0,0.006,0.135
"P36","Muy positiva",0.337,0.056,0.133,0.059,0.017,0.066
"P36","Positiva",0.254,0.35,0.046,0.136,0.083,0
"P36","Neutral",0.174,0.286,0.359,0.346,0.024,0.178
"P36","Algo negativa",0.025,0.062,0.178,0.042,0.244,0.063
"P36","Negativa",0.063,0.01,0.062,0.197,0.456,0.015
"P36","No sabe",0.147,0.236,0.222,0.22,0.176,0.678
"P37","Muy positiva",0.653,0.36,0.138,0.069,0.158,0.349
"P37","Positiva",0.174,0.401,0.199,0.177,0.101,0.087
"P37","Neutral",0.086,0.129,0.414,0.456,0.074,0.281
"P37","Algo negativa",0.02,0.032,0.111,0.074,0.098,0.057
"P37","Negativa",0.047,0.029,0.106,0.047,0.442,0.017
"P37","No sabe",0.02,0.049,0.032,0.177,0.127,0.209
"P38","Muy positiva",0.456,0.123,0.111,0,0.181,0.044
"P38","Positiva",0.216,0.362,0.188,0.016,0.046,0.164
