"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Axel Kicillof a gobernador por Unión por la Patria.",0.487,0.436,0.536,0.458,0.474,0.478,0.586,0.548,0.458,0.412,0.439,0.459,0.208,0.462,0.564,0.49,0.873,0.239,0.141,0.05,0.502
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.206,0.177,0.235,0.105,0.187,0.301,0.296,0.197,0.215,0.205,0.216,0.191,0.398,0.248,0.162,0.242,0.025,0.499,0.745,0.088,0.324
"Carolina Piparo a gobernadora por la Libertad Avanza",0.227,0.307,0.149,0.309,0.254,0.184,0.069,0.177,0.271,0.233,0.256,0.17,0.371,0.241,0.218,0.228,0.093,0.17,0.114,0.773,0.128
"El candidato a gobernador de la Izquierda",0.038,0.031,0.045,0.067,0.045,0.008,0.015,0.029,0.013,0.123,0.062,0.051,0,0.011,0.04,0.011,0.004,0,0,0.057,0.015
"En blanco",0.042,0.049,0.035,0.061,0.04,0.029,0.034,0.049,0.043,0.027,0.027,0.129,0.023,0.038,0.016,0.029,0.005,0.092,0,0.032,0.031
