"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Axel Kicillof a gobernador por Unión por la Patria.",0.5,0.479,0.52,0.598,0.453,0.42,0.583,0.614,0.43,0.416,0.567,0.397,0.543,0.359,0.594,0.392,0.785,0.469,0.369,0.15,0.516
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.203,0.228,0.178,0.045,0.158,0.366,0.349,0.176,0.226,0.207,0.232,0.232,0.457,0.304,0.154,0.155,0.065,0.354,0.514,0.095,0.429
"Carolina Piparo a gobernadora por la Libertad Avanza",0.208,0.232,0.184,0.301,0.254,0.132,0.031,0.144,0.266,0.206,0.16,0.146,0,0.316,0.184,0.392,0.13,0.17,0.117,0.668,0.024
"El candidato a gobernador de la Izquierda",0.042,0.019,0.066,0.056,0.067,0.002,0.019,0.015,0.021,0.16,0.029,0.065,0,0,0.063,0.007,0.012,0,0,0.087,0.021
"En blanco",0.047,0.042,0.052,0,0.068,0.08,0.018,0.051,0.057,0.011,0.012,0.16,0,0.021,0.005,0.054,0.008,0.007,0,0,0.01
