"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Si",0.194,0.193,0.195,0.22,0.197,0.163,0.184,0.188,0.218,0.145,0.22,0.227,0.2,0.21,0.204,0.082,0.179,0.136,0.136,0.121,0.389
"No",0.806,0.807,0.805,0.78,0.803,0.837,0.816,0.812,0.782,0.855,0.78,0.773,0.8,0.79,0.796,0.918,0.821,0.864,0.864,0.879,0.611
