"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P05","Mucho",0.446,0.33,0.284,0.241,0.633,0.299
"P05","Bastante",0.34,0.371,0.335,0.434,0.271,0.125
"P05","Poco",0.146,0.222,0.245,0.183,0.09,0.383
"P05","Nada",0.052,0.052,0.136,0.097,0.006,0.158
"P05","No sabe",0.016,0.025,0,0.045,0,0.035
"P06","Siempre",0.273,0.145,0.131,0.172,0.354,0.139
"P06","Casi siempre",0.358,0.494,0.322,0.257,0.227,0.128
"P06","Casi nunca",0.294,0.281,0.35,0.232,0.41,0.206
"P06","Nunca, pero esta es una excepción",0.075,0.08,0.197,0.339,0.009,0.527
"P10","Unión por la Patria",0.587,0.406,0.073,0.119,0.01,0.357
"P10","Juntos por el Cambio",0.136,0.245,0.298,0.335,0.474,0.047
"P10","De los Liberales libertarios",0.08,0.153,0.361,0.441,0.469,0.061
"P10","De la Izquierda",0.022,0.065,0.033,0,0.005,0.047
"P10","Hacemos por nuestro país",0.004,0.051,0.007,0,0.009,0.016
"P10","En blanco",0.116,0.002,0.052,0.039,0,0.028
"P10","No sabe",0.055,0.078,0.176,0.066,0.033,0.444
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.646,0.431,0.176,0.125,0.055,0.401
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.092,0.22,0.303,0.41,0.347,0.03
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.125,0.175,0.383,0.425,0.483,0.208
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.016,0.013,0.003,0.007,0.013,0.01
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.041,0.03,0.018,0.011,0,0.014
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.039,0.026,0.002,0,0.084,0.007
"P13","En blanco",0,0,0.043,0.022,0,0.066
"P13","No sabe",0.041,0.105,0.072,0,0.018,0.264
"P16","Si",0.398,0.445,0.275,0.331,0.39,0.634
"P16","No",0.602,0.555,0.725,0.669,0.61,0.366
"P17","Sergio Massa a presidente por Unión por la Patria.",0.48,0.428,0.255,0.146,0.085,0.364
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.191,0.259,0.27,0.264,0.117,0.026
"P17","Javier Milei a presidente por la Libertad Avanza",0.259,0.221,0.223,0.351,0.798,0.239
"P17","Los candidatos a presidente de la Izquierda",0.045,0.021,0.01,0,0,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.014,0.035,0.038,0.223,0,0.008
"P17","En blanco",0,0,0.133,0.016,0,0.045
"P17","No sabe",0.011,0.036,0.071,0,0,0.318
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.614,0.464,0.439,0.258,0.032,0.575
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.249,0.204,0.214,0.437,0.315,0.026
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.109,0.219,0.134,0.253,0.653,0
"P20","El candidato a gobernador de la Izquierda",0.004,0.062,0.01,0,0,0
"P20","En blanco",0.004,0,0.014,0.036,0,0.053
"P20","No sabe",0.02,0.051,0.189,0.016,0,0.346
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",0.278,0.2,0.25,0.086,0.048,0.561
"P23","Zencich a intendente por Juntos por el Cambio",0.203,0.207,0.154,0.241,0.235,0
"P23","Eduardo Varela a intendente por la Libertad Avanza",0.134,0.171,0.194,0.224,0.136,0.007
"P23","Raul Othacehé a intendente por el frente vecinal crecer",0.118,0.08,0.018,0.101,0.494,0.024
"P23","El candidato a intendente de la Izquierda",0.153,0.271,0.159,0.223,0.015,0.045
"P23","En blanco",0.042,0.023,0.15,0.016,0.013,0
"P23","No sabe",0.072,0.048,0.075,0.109,0.059,0.363
"P26","Totalmente seguro.",0.664,0.755,0.628,0.577,0.755,0.357
"P26","Bastante seguro",0.214,0.071,0.227,0.209,0.122,0.123
"P26","Algo seguro",0.071,0.149,0.012,0.089,0.028,0.165
"P26","Para nada seguro",0.051,0.025,0.133,0.125,0.095,0.355
"P27","Tiene Decidido que va a ir a votar.",0.907,0.968,0.915,0.803,0.955,0.864
"P27","Tiene dudas sobre si va a ir a  votar",0.051,0.024,0.084,0.104,0.019,0.094
"P27","Tiene Decidido que no va a ir a votar",0.042,0.008,0.001,0.093,0.026,0.042
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.297,0.283,0.673,0.775,0.81,0.353
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.163,0.125,0.094,0.081,0.143,0.297
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.324,0.293,0.113,0.086,0.037,0.09
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.081,0.088,0.029,0,0,0.134
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.104,0.083,0.055,0,0.01,0
