"var","categoria","Si","No"
"P05","Mucho",0.33,0.406
"P05","Bastante",0.499,0.276
"P05","Poco",0.134,0.205
"P05","Nada",0.029,0.088
"P05","No sabe",0.008,0.025
"P06","Siempre",0.271,0.194
"P06","Casi siempre",0.422,0.282
"P06","Casi nunca",0.202,0.341
"P06","Nunca, pero esta es una excepción",0.105,0.183
"P10","Unión por la Patria",0.388,0.365
"P10","Juntos por el Cambio",0.254,0.204
"P10","De los Liberales libertarios",0.17,0.202
"P10","De la Izquierda",0.019,0.043
"P10","Hacemos por nuestro país",0.013,0.025
"P10","En blanco",0.056,0.057
"P10","No sabe",0.1,0.104
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.477,0.426
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.177,0.199
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.211,0.224
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.019,0.01
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.037,0.022
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.027,0.016
"P13","En blanco",0,0.021
"P13","No sabe",0.052,0.082
"P16","Si",0.414,0.379
"P16","No",0.586,0.621
"P17","Sergio Massa a presidente por Unión por la Patria.",0.575,0.336
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.093,0.188
"P17","Javier Milei a presidente por la Libertad Avanza",0.26,0.303
"P17","Los candidatos a presidente de la Izquierda",0.04,0.013
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.025,0.047
"P17","En blanco",0,0.055
"P17","No sabe",0.007,0.058
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.543,0.459
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.143,0.259
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.175,0.202
"P20","El candidato a gobernador de la Izquierda",0.048,0.01
"P20","En blanco",0.004,0.011
"P20","No sabe",0.087,0.059
