"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Muy positiva",0.396,0.363,0.43,0.494,0.313,0.376,0.503,0.395,0.367,0.459,0.395,0.414,0.213,0.297,0.434,0.4,0.562,0.447,0.19,0.092,0.589
"Positiva",0.207,0.204,0.211,0.141,0.254,0.218,0.162,0.115,0.29,0.193,0.17,0.175,0.246,0.255,0.221,0.227,0.235,0.154,0.205,0.164,0.156
"Neutral",0.206,0.266,0.143,0.202,0.219,0.238,0.126,0.27,0.148,0.217,0.219,0.196,0.408,0.312,0.178,0.128,0.07,0.197,0.367,0.478,0.06
"Algo negativa",0.052,0.059,0.044,0,0.07,0.047,0.083,0.035,0.068,0.047,0.071,0.045,0,0.05,0.044,0.067,0.012,0.088,0.1,0.084,0.028
"Negativa",0.07,0.047,0.094,0.101,0.066,0.059,0.058,0.086,0.058,0.07,0.113,0.012,0.133,0.056,0.044,0.133,0.009,0.105,0.119,0.158,0.144
"No sabe",0.069,0.061,0.078,0.062,0.078,0.062,0.068,0.099,0.069,0.014,0.032,0.158,0,0.03,0.079,0.045,0.112,0.009,0.019,0.024,0.023
