"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Sergio Massa a presidente por Unión por la Patria.",0.41,0.363,0.455,0.32,0.41,0.453,0.508,0.44,0.4,0.364,0.307,0.443,0.2,0.316,0.483,0.448,0.791,0.255,0.076,0.025,0.42
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.184,0.153,0.213,0.132,0.146,0.244,0.285,0.175,0.191,0.186,0.23,0.126,0.22,0.33,0.132,0.223,0.036,0.501,0.697,0.072,0.176
"Javier Milei a presidente por la Libertad Avanza",0.251,0.366,0.141,0.3,0.289,0.224,0.103,0.239,0.258,0.265,0.274,0.249,0.489,0.162,0.235,0.244,0.099,0.156,0.164,0.804,0.216
"Los candidatos a presidente de la Izquierda",0.041,0.03,0.051,0.063,0.053,0.016,0.005,0.022,0.025,0.123,0.059,0.048,0,0.011,0.048,0.015,0.003,0,0,0.05,0.017
"Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.029,0.03,0.027,0.07,0.014,0.016,0.011,0.048,0.014,0.022,0.033,0.048,0,0.031,0.028,0.01,0.011,0.086,0.027,0.009,0.097
"En blanco",0.024,0.024,0.026,0.033,0.034,0.001,0.024,0.01,0.038,0.025,0.035,0.007,0.067,0.002,0.026,0.029,0.015,0,0,0.029,0.048
"No sabe",0.061,0.034,0.087,0.082,0.054,0.046,0.064,0.066,0.074,0.015,0.062,0.079,0.024,0.148,0.048,0.031,0.045,0.002,0.036,0.011,0.026
