"var","categoria","Ha aumentado significativamente","Ha aumentado ligeramente","Se mantiene igual","Ha disminuido ligeramente","Ha disminuido significativamente"
"P05","Mucho",0.361,0.383,0.363,0.352,0.273
"P05","Bastante",0.255,0.407,0.324,0.307,0.302
"P05","Poco",0.132,0.153,0.24,0.232,0.165
"P05","Nada",0.215,0.035,0.061,0.104,0.188
"P05","No sabe",0.037,0.022,0.012,0.005,0.072
"P06","Siempre",0.317,0.106,0.228,0.242,0.155
"P06","Casi siempre",0.272,0.503,0.249,0.247,0.3
"P06","Casi nunca",0.209,0.217,0.378,0.341,0.379
"P06","Nunca, pero esta es una excepción",0.202,0.174,0.145,0.17,0.166
"P10","Unión por la Patria",0.508,0.652,0.355,0.134,0.154
"P10","Juntos por el Cambio",0.127,0.123,0.249,0.291,0.213
"P10","De los Liberales libertarios",0.003,0.137,0.192,0.331,0.311
"P10","De la Izquierda",0.028,0.021,0.014,0.03,0.12
"P10","Hacemos por nuestro país",0.019,0.001,0.014,0.009,0.016
"P10","En blanco",0.216,0.043,0.043,0.103,0.022
"P10","No sabe",0.099,0.023,0.133,0.102,0.164
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.7,0.538,0.486,0.239,0.237
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.111,0.151,0.153,0.249,0.241
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.048,0.197,0.251,0.323,0.317
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0,0.022,0.013,0.015,0.006
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.01,0.007,0.011,0.078,0.024
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.125,0.001,0.01,0,0.036
"P13","En blanco",0,0.038,0,0.013,0.022
"P13","No sabe",0.006,0.046,0.076,0.083,0.117
