"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.371,0.151,0.269
"P05","Bastante",0.331,0.267,0.091
"P05","Poco",0.19,0.17,0.294
"P05","Nada",0.089,0.236,0.275
"P05","No sabe",0.019,0.176,0.071
"P06","Siempre",0.21,0.043,0.307
"P06","Casi siempre",0.33,0.103,0.026
"P06","Casi nunca",0.328,0.409,0.348
"P06","Nunca, pero esta es una excepción",0.132,0.445,0.319
"P10","Unión por la Patria",0.368,0.143,0.205
"P10","Juntos por el Cambio",0.218,0.124,0.324
"P10","De los Liberales libertarios",0.211,0.131,0.121
"P10","De la Izquierda",0.04,0.133,0.025
"P10","Hacemos por nuestro país",0.012,0.013,0
"P10","En blanco",0.051,0.155,0.167
"P10","No sabe",0.1,0.301,0.158
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.431,0.194,0.346
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.195,0.165,0.086
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.242,0.193,0.303
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.016,0,0.035
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.037,0,0.037
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.012,0.12,0
"P13","En blanco",0.008,0.047,0.161
"P13","No sabe",0.059,0.281,0.032
"P16","Si",0.399,0.579,0.439
"P16","No",0.601,0.421,0.561
"P17","Sergio Massa a presidente por Unión por la Patria.",0.352,0.335,0.608
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.19,0.071,0.124
"P17","Javier Milei a presidente por la Libertad Avanza",0.289,0.266,0.239
"P17","Los candidatos a presidente de la Izquierda",0.046,0.058,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.032,0,0
"P17","En blanco",0.025,0.055,0
"P17","No sabe",0.066,0.215,0.029
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.5,0.249,0.314
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.196,0.148,0.097
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.158,0.312,0.454
"P20","El candidato a gobernador de la Izquierda",0.037,0.025,0
"P20","En blanco",0.005,0.051,0.061
"P20","No sabe",0.104,0.215,0.074
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",0.246,0.192,0.345
"P23","Zencich a intendente por Juntos por el Cambio",0.164,0.141,0.15
"P23","Eduardo Varela a intendente por la Libertad Avanza",0.156,0.177,0.178
"P23","Raul Othacehé a intendente por el frente vecinal crecer",0.113,0.158,0
"P23","El candidato a intendente de la Izquierda",0.153,0.031,0.238
"P23","En blanco",0.063,0.053,0
"P23","No sabe",0.105,0.248,0.089
"P26","Totalmente seguro.",0.694,0.245,0.534
"P26","Bastante seguro",0.17,0.343,0
