"var","categoria","Reducir la inflación","Implementar reformas fiscales","Establecer políticas de control de precios","Reducir el gasto público","Estimular la inversión extranjera","Aumentar los subsidios a los servicios públicos"
"P05","Mucho",0.358,0.507,0.403,0.354,0.284,0.233
"P05","Bastante",0.299,0.322,0.25,0.38,0.585,0.427
"P05","Poco",0.21,0.092,0.254,0.189,0.084,0.086
"P05","Nada",0.116,0.062,0.077,0.054,0.047,0.254
"P05","No sabe",0.017,0.017,0.016,0.023,0,0
"P06","Siempre",0.175,0.247,0.199,0.238,0.159,0.255
"P06","Casi siempre",0.314,0.354,0.313,0.325,0.629,0.399
"P06","Casi nunca",0.349,0.224,0.292,0.297,0.165,0.125
"P06","Nunca, pero esta es una excepción",0.162,0.175,0.196,0.14,0.047,0.221
"P10","Unión por la Patria",0.418,0.368,0.693,0.071,0.382,0.178
"P10","Juntos por el Cambio",0.182,0.385,0.048,0.303,0.301,0.276
"P10","De los Liberales libertarios",0.111,0.053,0.021,0.512,0.053,0
"P10","De la Izquierda",0.028,0.07,0.071,0.015,0.01,0
"P10","Hacemos por nuestro país",0.019,0.028,0.008,0.008,0.012,0
"P10","En blanco",0.08,0,0.034,0.032,0.053,0.537
"P10","No sabe",0.162,0.096,0.125,0.059,0.189,0.009
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.472,0.61,0.718,0.079,0.398,0.715
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.2,0.175,0.055,0.271,0.311,0
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.117,0.095,0.127,0.546,0.053,0
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.009,0.034,0.004,0.01,0,0.008
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.023,0,0.024,0.009,0,0.277
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.049,0.081,0.002,0.004,0.012,0
"P13","En blanco",0.009,0,0.014,0.031,0,0
"P13","No sabe",0.121,0.005,0.056,0.05,0.226,0
"P16","Si",0.398,0.488,0.368,0.403,0.652,0.593
"P16","No",0.602,0.512,0.632,0.597,0.348,0.407
"P17","Sergio Massa a presidente por Unión por la Patria.",0.368,0.649,0.466,0.126,0.712,1
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.234,0.137,0.198,0.203,0.225,0
"P17","Javier Milei a presidente por la Libertad Avanza",0.201,0.207,0.174,0.516,0.051,0
"P17","Los candidatos a presidente de la Izquierda",0.065,0,0.045,0.012,0,0
