"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Muy positiva",0.179,0.182,0.177,0.134,0.212,0.148,0.209,0.169,0.131,0.305,0.195,0.177,0.029,0.101,0.186,0.244,0.215,0.201,0.033,0.146,0.221
"Positiva",0.19,0.212,0.167,0.116,0.197,0.227,0.212,0.093,0.258,0.221,0.159,0.144,0.34,0.17,0.207,0.219,0.307,0.079,0.114,0.158,0.123
"Neutral",0.236,0.223,0.248,0.26,0.239,0.25,0.167,0.183,0.272,0.251,0.245,0.19,0.497,0.239,0.254,0.137,0.165,0.381,0.379,0.262,0.226
"Algo negativa",0.084,0.087,0.081,0.087,0.083,0.098,0.058,0.144,0.029,0.093,0.057,0.094,0,0.055,0.093,0.14,0.036,0.063,0.115,0.177,0.201
"Negativa",0.074,0.098,0.049,0.074,0.123,0.031,0.024,0.082,0.079,0.05,0.083,0.031,0.134,0.208,0.062,0.033,0.036,0.165,0.119,0.111,0.004
"No sabe",0.237,0.198,0.278,0.329,0.146,0.246,0.33,0.329,0.231,0.08,0.261,0.364,0,0.227,0.198,0.227,0.241,0.111,0.24,0.146,0.225
