"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"Si",0.133,0.098,0.166,0.147,0.117,0.129,0.153,0.126,0.149,0.106,0.168,0.075,0.191,0.194,0.154,0.053,0.074,0.134,0.148,0.075,0.284
"No",0.867,0.902,0.834,0.853,0.883,0.871,0.847,0.874,0.851,0.894,0.832,0.925,0.809,0.806,0.846,0.947,0.926,0.866,0.852,0.925,0.716
