"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","c00652","c00653","c00654","c00655","c0652A","c0655A","Menéndez","Cocuzza","Zencich","Varela","Othacehé"
"No, ninguna dificultad",0.231,0.221,0.242,0.221,0.159,0.299,0.329,0.222,0.219,0.282,0.183,0.227,0.068,0.254,0.277,0.229,0.274,0.208,0.195,0.141,0.309
"Alguna dificultad ocasional",0.361,0.398,0.323,0.223,0.406,0.392,0.435,0.314,0.402,0.357,0.388,0.424,0.337,0.261,0.333,0.384,0.414,0.314,0.383,0.327,0.238
"Sí, dificultades frecuentes",0.408,0.381,0.435,0.556,0.435,0.309,0.236,0.464,0.379,0.361,0.429,0.349,0.595,0.485,0.39,0.387,0.312,0.478,0.422,0.532,0.453
