"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Pablo Todero a Diputado Nacional por Unión por la Patria",0.268,0.247,0.29,0.27,0.273,0.259,0.261,0.23,0.28,0.285,0.601,0.35,0.028,0.03,0.076,0.273,0.222,0.616,0.042,0.022,0.25,0.263,0.272
"Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.165,0.168,0.161,0.068,0.148,0.256,0.272,0.147,0.152,0.202,0.061,0.156,0.621,0.191,0.057,0.146,0.17,0.065,0.538,0.223,0.12,0.181,0.15
"Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.251,0.261,0.24,0.36,0.224,0.209,0.189,0.243,0.283,0.208,0.111,0.212,0.175,0.232,0.511,0.307,0.247,0.078,0.207,0.29,0.008,0.232,0.268
"Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.123,0.145,0.101,0.126,0.147,0.087,0.099,0.15,0.129,0.091,0.138,0.175,0.073,0.074,0.118,0.128,0.245,0.084,0.048,0.116,0.17,0.129,0.119
"Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.094,0.076,0.113,0.09,0.117,0.077,0.045,0.129,0.062,0.109,0.038,0.059,0.028,0.294,0.112,0.083,0.024,0.074,0.152,0.14,0.4,0.078,0.108
"En blanco",0.042,0.041,0.043,0.04,0.034,0.045,0.073,0.032,0.044,0.048,0.018,0.013,0.048,0.017,0.071,0.026,0.028,0.017,0.003,0.15,0,0.052,0.033
"No sabe",0.057,0.062,0.052,0.046,0.057,0.067,0.061,0.069,0.05,0.057,0.033,0.035,0.027,0.162,0.055,0.037,0.064,0.066,0.01,0.059,0.052,0.065,0.05
