"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Pablo Todero a Diputado Nacional por Unión por la Patria",0.188,0.191,0.185,0.232,0.179,0.171,0.181,0.239,0.189,0.148,0.358,0.237,0.014,0,0.119,0.176,0.161,0.351,0.051,0.042,0.41,0.201,0.177
"Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.145,0.135,0.154,0.037,0.143,0.192,0.24,0.11,0.138,0.179,0.025,0.105,0.5,0.133,0.11,0.135,0.106,0.029,0.837,0.193,0.09,0.157,0.133
"Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.166,0.166,0.166,0.223,0.159,0.175,0.079,0.11,0.211,0.146,0.164,0.129,0.144,0.38,0.2,0.181,0.13,0.112,0.046,0.107,0.047,0.186,0.148
"Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.231,0.269,0.19,0.278,0.259,0.149,0.204,0.292,0.237,0.175,0.267,0.333,0.098,0.113,0.256,0.278,0.383,0.178,0,0.135,0,0.205,0.253
"Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.096,0.088,0.105,0.081,0.1,0.108,0.086,0.068,0.065,0.161,0.091,0.108,0.059,0.176,0.062,0.125,0.062,0.117,0.025,0.112,0.355,0.064,0.125
"En blanco",0.07,0.06,0.082,0.092,0.061,0.065,0.078,0.043,0.07,0.093,0.043,0.024,0.116,0.051,0.112,0.03,0.056,0.043,0.012,0.254,0,0.072,0.07
"No sabe",0.104,0.091,0.118,0.057,0.099,0.14,0.132,0.138,0.09,0.098,0.052,0.064,0.069,0.147,0.141,0.075,0.102,0.17,0.029,0.157,0.098,0.115,0.094
