"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.347,0.31,0.385,0.297,0.389,0.356,0.302,0.292,0.368,0.377,0.814,0.488,0.042,0.034,0.056,0.358,0.421,0.675,0.036,0.085,0.228,0.34,0.353
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.189,0.179,0.2,0.117,0.155,0.296,0.314,0.168,0.184,0.222,0.09,0.15,0.763,0.29,0.017,0.165,0.23,0.096,0.614,0.202,0.302,0.182,0.196
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.291,0.337,0.244,0.39,0.269,0.23,0.23,0.275,0.311,0.276,0.06,0.25,0.177,0.228,0.714,0.358,0.285,0.117,0.214,0.49,0.011,0.271,0.308
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.085,0.079,0.09,0.087,0.113,0.04,0.047,0.124,0.066,0.071,0.004,0.077,0.005,0.231,0.133,0.057,0.028,0.078,0.136,0.141,0.279,0.077,0.091
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.022,0.032,0.011,0.03,0.01,0.031,0.027,0.026,0.024,0.011,0.007,0.008,0.001,0.015,0.047,0.025,0.006,0.004,0,0.045,0.158,0.031,0.013
"En blanco",0.02,0.027,0.013,0.022,0.026,0.001,0.031,0.055,0,0.014,0.008,0,0.002,0.072,0.014,0.012,0.005,0.004,0,0.023,0,0.039,0.004
"No sabe",0.046,0.036,0.057,0.057,0.038,0.046,0.049,0.06,0.047,0.029,0.017,0.027,0.01,0.13,0.019,0.025,0.025,0.026,0,0.014,0.022,0.06,0.035
