"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Totalmente seguro.",0.715,0.742,0.687,0.678,0.752,0.719,0.661,0.682,0.679,0.815,0.815,0.552,0.691,0.604,0.743,0.765,0.695,0.663,0.525,0.836,0.848,0.715,0.715
"Bastante seguro",0.1,0.079,0.122,0.093,0.075,0.145,0.13,0.066,0.138,0.075,0.065,0.292,0.094,0.02,0.092,0.083,0.201,0.145,0.085,0.021,0.009,0.083,0.115
"Algo seguro",0.095,0.091,0.098,0.131,0.076,0.066,0.126,0.121,0.092,0.068,0.046,0.113,0.168,0.154,0.083,0.09,0.059,0.113,0.125,0,0.073,0.083,0.105
"Para nada seguro",0.09,0.088,0.093,0.098,0.097,0.07,0.083,0.131,0.091,0.042,0.074,0.043,0.047,0.222,0.082,0.062,0.045,0.079,0.265,0.143,0.07,0.119,0.065
