"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.364,0.319,0.41,0.3,0.409,0.383,0.325,0.294,0.393,0.397,0.831,0.516,0.045,0.045,0.056,0.372,0.442,0.696,0.036,0.094,0.228,0.354,0.373
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.196,0.182,0.211,0.136,0.157,0.297,0.324,0.189,0.184,0.225,0.09,0.15,0.764,0.296,0.017,0.166,0.23,0.096,0.614,0.208,0.302,0.194,0.199
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.305,0.347,0.261,0.405,0.283,0.242,0.238,0.291,0.33,0.276,0.06,0.25,0.183,0.228,0.732,0.368,0.286,0.122,0.214,0.49,0.011,0.3,0.309
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.092,0.092,0.092,0.107,0.115,0.04,0.055,0.144,0.066,0.075,0.004,0.076,0.005,0.344,0.133,0.057,0.028,0.078,0.136,0.14,0.301,0.079,0.102
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.022,0.033,0.011,0.03,0.01,0.032,0.027,0.026,0.025,0.013,0.007,0.008,0.001,0.015,0.048,0.025,0.009,0.004,0,0.045,0.158,0.032,0.013
"En blanco",0.021,0.027,0.015,0.022,0.026,0.006,0.031,0.056,0.002,0.014,0.008,0,0.002,0.072,0.014,0.012,0.005,0.004,0,0.023,0,0.041,0.004
