"var","categoria","Reducir la inflación","Implementar reformas fiscales","Establecer políticas de control de precios","Reducir el gasto público","Estimular la inversión extranjera","Aumentar los subsidios a los servicios públicos"
"P05","Tiene Decidido que va a ir a votar.",0.84,0.769,0.923,0.878,0.829,0.959
"P05","Tiene dudas sobre si va a ir a  votar",0.126,0.17,0.069,0.1,0.171,0.041
"P05","Tiene Decidido que no va a ir a votar",0.034,0.061,0.008,0.022,0,0
"P06","Mucho",0.517,0.593,0.563,0.442,0.332,0.449
"P06","Bastante",0.294,0.352,0.301,0.336,0.344,0.144
"P06","Poco",0.126,0.03,0.132,0.111,0.169,0.127
"P06","Nada",0.056,0.025,0.002,0.104,0.028,0
"P06","No sabe",0.007,0,0.002,0.007,0.127,0.28
"P07","Siempre",0.304,0.242,0.181,0.219,0.365,0.452
"P07","Casi siempre",0.3,0.45,0.386,0.326,0.153,0.377
"P07","Casi nunca",0.296,0.226,0.325,0.234,0.294,0.14
"P07","Nunca, pero esta es una excepción",0.1,0.082,0.108,0.221,0.188,0.031
"P11","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.366,0.379,0.704,0.082,0.307,0.944
"P11","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.151,0.238,0.101,0.313,0.185,0
"P11","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.326,0.25,0.053,0.483,0.322,0.056
"P11","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.012,0,0.023,0.007,0.017,0
"P11","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.07,0.109,0.046,0.053,0.153,0
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.027,0.024,0,0.017,0,0
"P11","En blanco",0.001,0,0.049,0.01,0,0
"P11","No sabe",0.047,0,0.024,0.035,0.016,0
"P14","Totalmente seguro.",0.736,0.682,0.867,0.748,0.715,0.624
"P14","Bastante seguro",0.077,0.197,0.081,0.105,0.081,0.041
"P14","Algo seguro",0.129,0.03,0.027,0.087,0.012,0.335
"P14","Para nada seguro",0.058,0.091,0.025,0.06,0.192,0
"P18","Si",0.491,0.373,0.44,0.474,0.259,0.087
"P18","No",0.509,0.627,0.56,0.526,0.741,0.913
"P19","Pablo Todero a Diputado Nacional por Unión por la Patria",0.211,0.214,0.297,0.028,0.037,0.602
"P19","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.143,0.104,0.07,0.27,0.208,0
"P19","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.196,0.24,0,0.171,0.265,0
"P19","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.235,0.168,0.258,0.177,0.202,0
"P19","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.111,0.114,0.147,0.056,0.242,0
"P19","En blanco",0.041,0.06,0.037,0.147,0,0.398
"P19","No sabe",0.063,0.1,0.191,0.151,0.046,0
"P22","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.424,0.321,0.157,0.619,0.375,0.056
"P22","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.144,0.296,0.183,0.198,0.212,0
"P22","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.262,0.282,0.416,0.118,0.021,0.589
"P22","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.056,0.048,0.094,0.009,0.148,0.183
"P22","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.04,0.042,0.115,0.016,0.083,0
"P22","No sabe",0.074,0.011,0.035,0.04,0.161,0.172
"P23","No estaba enterado del tema",0.212,0.117,0.154,0.094,0.118,0.367
"P23","Un tema de la vida privada de él",0.18,0.265,0.224,0.091,0.214,0.199
"P23","Un hecho vergonzoso de exclusiva responsabilidad de él",0.315,0.34,0.521,0.156,0.242,0.263
"P23","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.073,0.147,0.03,0.159,0.069,0
"P23","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.189,0.121,0.047,0.478,0.199,0
"P23","No sabe",0.031,0.01,0.024,0.022,0.158,0.171
"P24","Ha aumentado significativamente",0.188,0.079,0.198,0.049,0.084,0.032
"P24","Ha aumentado ligeramente",0.2,0.364,0.213,0.149,0.118,0.251
"P24","Se mantiene igual",0.279,0.27,0.425,0.241,0.406,0.407
"P24","Ha disminuido ligeramente",0.169,0.134,0.037,0.208,0.171,0.172
