"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Pablo Todero a Diputado Nacional por Unión por la Patria",0.281,0.259,0.303,0.27,0.291,0.273,0.277,0.249,0.294,0.29,0.632,0.35,0.028,0.03,0.081,0.276,0.266,0.634,0.042,0.022,0.26,0.278,0.283
"Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.174,0.178,0.17,0.072,0.159,0.26,0.3,0.155,0.159,0.218,0.061,0.18,0.645,0.197,0.062,0.154,0.173,0.09,0.538,0.223,0.135,0.193,0.157
"Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.268,0.279,0.257,0.38,0.236,0.243,0.189,0.257,0.305,0.222,0.111,0.212,0.178,0.254,0.534,0.323,0.253,0.089,0.21,0.315,0.008,0.256,0.28
"Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.129,0.15,0.107,0.126,0.15,0.102,0.108,0.155,0.132,0.099,0.14,0.178,0.073,0.074,0.132,0.134,0.255,0.09,0.048,0.123,0.17,0.135,0.124
"Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.104,0.089,0.119,0.112,0.125,0.077,0.053,0.152,0.062,0.122,0.038,0.067,0.028,0.428,0.112,0.087,0.024,0.08,0.152,0.14,0.427,0.082,0.123
"En blanco",0.044,0.045,0.044,0.04,0.039,0.045,0.073,0.032,0.048,0.049,0.018,0.013,0.048,0.017,0.079,0.026,0.029,0.017,0.01,0.177,0,0.056,0.033
