"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Mucho",0.427,0.488,0.374,0.399,0.464,0.436,0.383,0.432,0.328,0.508,0.457,0.384,0.582,0.42,0.432,0.466,0.39,0.428,0.259,0.453,0.462
"Bastante",0.329,0.292,0.36,0.305,0.31,0.354,0.352,0.235,0.381,0.324,0.334,0.391,0.289,0.366,0.229,0.326,0.345,0.352,0.288,0.255,0.346
"Poco",0.151,0.121,0.177,0.178,0.135,0.146,0.158,0.179,0.172,0.122,0.134,0.144,0.074,0.14,0.104,0.121,0.168,0.192,0.081,0.158,0.109
"Nada",0.05,0.06,0.041,0.088,0.043,0.038,0.039,0.081,0.063,0.026,0.044,0.049,0.003,0.055,0.134,0.079,0.07,0.019,0.027,0.04,0.057
"No sabe",0.043,0.039,0.048,0.03,0.048,0.026,0.068,0.073,0.056,0.02,0.031,0.032,0.052,0.019,0.101,0.008,0.027,0.009,0.345,0.094,0.026
