"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P05","Mucho",0.458,0.464,0.526,0.573,0.379,0.312
"P05","Bastante",0.329,0.362,0.314,0.219,0.211,0.248
"P05","Poco",0.15,0.105,0.1,0.15,0.29,0.238
"P05","Nada",0.044,0.022,0.009,0.029,0.12,0.162
"P05","No sabe",0.019,0.047,0.051,0.029,0,0.04
"P06","Siempre",0.236,0.248,0.198,0.288,0.07,0.155
"P06","Casi siempre",0.322,0.373,0.36,0.18,0.189,0.299
"P06","Casi nunca",0.305,0.286,0.323,0.351,0.507,0.41
"P06","Nunca, pero esta es una excepción",0.137,0.093,0.119,0.181,0.234,0.136
"P09","Unión por la Patria",0.048,0.232,0.618,0.481,0.289,0.086
"P09","Juntos por el Cambio ",0.5,0.526,0.227,0.037,0,0.269
"P09","De los Liberales libertarios",0.336,0.162,0.059,0.164,0.053,0.099
"P09","De la Izquierda",0.021,0.012,0.041,0.179,0.391,0
"P09","Hacemos por nuestro país",0.026,0.026,0.02,0.009,0.02,0.06
"P09","En blanco",0.032,0.01,0.022,0.023,0.02,0.153
"P09","No sabe",0.037,0.032,0.013,0.107,0.227,0.333
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.",0.077,0.232,0.638,0.539,0.413,0.328
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio",0.5,0.544,0.243,0.028,0.13,0.321
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza",0.348,0.164,0.062,0.212,0.207,0.114
"P12","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda",0.004,0.01,0.019,0.164,0.121,0.02
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.015,0.015,0.013,0,0.028,0.037
