"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","Rubén Sobrero a gobernador por el Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.482,0.387,0.381,0.377,0.126,0.326
"P05","Bastante",0.31,0.391,0.35,0.221,0.191,0.317
"P05","Poco",0.082,0.151,0.186,0.345,0.543,0.307
"P05","Nada",0.046,0.035,0.045,0.057,0.14,0.026
"P05","No sabe",0.08,0.036,0.038,0,0,0.024
"P06","Siempre",0.321,0.205,0.181,0,0.059,0.094
"P06","Casi siempre",0.304,0.367,0.237,0.221,0.371,0.352
"P06","Casi nunca",0.276,0.333,0.399,0.694,0.437,0.407
"P06","Nunca, pero esta es una excepción",0.099,0.095,0.183,0.085,0.133,0.147
"P09","Unión por la Patria",0.523,0.068,0.109,0.079,0.027,0.054
"P09","Juntos por el Cambio ",0.098,0.663,0.194,0.14,0.07,0.194
"P09","De los Liberales libertarios",0.091,0.183,0.598,0,0.038,0.095
"P09","De la Izquierda",0.184,0.012,0,0.348,0.188,0.057
"P09","Hacemos por nuestro país",0.058,0.018,0.056,0.397,0.32,0.022
"P09","En blanco",0.018,0.017,0,0,0.357,0.17
"P09","No sabe",0.028,0.039,0.043,0.036,0,0.408
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.",0.696,0.076,0.053,0.501,0.027,0.171
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio",0.119,0.66,0.204,0.073,0.048,0.13
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza",0.079,0.182,0.655,0.076,0,0.133
"P12","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda",0.087,0,0.016,0.314,0.091,0
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.019,0.009,0.049,0,0.527,0.022
"P12","En blanco",0,0.032,0,0,0.307,0.121
"P12","No sabe",0,0.041,0.023,0.036,0,0.423
"P16","Sergio Massa a presidente por Unión por la Patria.",0.6,0.067,0.084,0.4,0.028,0.216
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.138,0.662,0.218,0.14,0.048,0.146
"P16","Javier Milei a presidente por la Libertad Avanza",0.097,0.231,0.638,0,0,0.159
"P16","Myriam Bregman a presidenta por el Frente de Izquierda",0.129,0,0.018,0.424,0.091,0.009
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.025,0.021,0.039,0,0.766,0.022
"P16","En blanco",0.006,0.012,0,0,0.067,0.153
"P16","No sabe",0.005,0.007,0.003,0.036,0,0.295
"P22","Federico Meca a intendente por Unión por la Patria.",0.46,0.095,0.032,0.066,0.078,0.09
"P22","Ramón Lanus a intendente por Juntos por el Cambio",0.167,0.717,0.545,0.201,0.105,0.216
"P22","Rodolfo Paolucci a intendente por la Libertad Avanza",0.143,0.136,0.323,0,0,0.076
"P22","Camila Paiz a intendenta por el Frente de Izquierda",0.09,0.004,0.021,0.733,0,0
"P22","En blanco",0.027,0.021,0.039,0,0.757,0.076
"P22","No sabe",0.113,0.027,0.04,0,0.06,0.542
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.159,0.534,0.675,0.295,0.422,0.442
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.121,0.268,0.21,0.22,0.259,0.116
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.517,0.156,0.067,0.177,0.12,0.176
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.058,0,0.012,0.288,0,0
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.071,0,0.029,0.02,0.133,0.074
"P25","No sabe",0.074,0.042,0.007,0,0.066,0.192
"P26","Totalmente seguro.",0.601,0.634,0.761,0.678,0.475,0.279
"P26","Bastante seguro",0.233,0.175,0.119,0.103,0.038,0.204
"P26","Algo seguro",0.125,0.151,0.086,0.149,0,0.083
"P26","Para nada seguro",0.041,0.04,0.034,0.07,0.487,0.434
"P27","Tiene Decidido que va a ir a votar.",0.941,0.907,0.927,0.849,0.478,0.88
"P27","Tiene dudas sobre si va a ir a  votar",0.052,0.069,0.067,0.151,0.522,0.095
"P27","Tiene Decidido que no va a ir a votar",0.007,0.024,0.006,0,0,0.025
"P28","Si",0.392,0.435,0.389,0.626,0.163,0.365
"P28","No",0.608,0.565,0.611,0.374,0.837,0.635
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.6,0.067,0.084,0.4,0.028,0.216
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.138,0.662,0.218,0.14,0.048,0.146
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.097,0.231,0.638,0,0,0.159
"PRESIDENTE","Myriam Bregman a presidenta por el Frente de Izquierda",0.129,0,0.018,0.424,0.091,0.009
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.025,0.021,0.039,0,0.766,0.022
"PRESIDENTE","En blanco",0.006,0.012,0,0,0.067,0.153
"PRESIDENTE","No sabe",0.005,0.007,0.003,0.036,0,0.295
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",1,0,0,0,0,0
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0,1,0,0,0,0
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0,0,1,0,0,0
"GOBERNADOR","Rubén Sobrero a gobernador por el Frente de Izquierda",0,0,0,1,0,0
"GOBERNADOR","En blanco",0,0,0,0,1,0
"GOBERNADOR","No sabe",0,0,0,0,0,1
"INTENDENTE","Federico Meca a intendente por Unión por la Patria.",0.46,0.095,0.032,0.066,0.078,0.09
"INTENDENTE","Ramón Lanus a intendente por Juntos por el Cambio",0.167,0.717,0.545,0.201,0.105,0.216
"INTENDENTE","Rodolfo Paolucci a intendente por la Libertad Avanza",0.143,0.136,0.323,0,0,0.076
"INTENDENTE","Camila Paiz a intendenta por el Frente de Izquierda",0.09,0.004,0.021,0.733,0,0
"INTENDENTE","En blanco",0.027,0.021,0.039,0,0.757,0.076
"INTENDENTE","No sabe",0.113,0.027,0.04,0,0.06,0.542
"CORTA_PRESIDENTE","Si",0.306,0.221,0.182,0.177,0.24,0.292
"CORTA_PRESIDENTE","No",0.694,0.779,0.818,0.823,0.76,0.708
"CORTA_GOBERNADOR","Si",0.304,0.34,0.345,0.686,0.167,0.578
"CORTA_GOBERNADOR","No",0.696,0.66,0.655,0.314,0.833,0.422
"CORTA_INTENDENTE","Si",0.549,0.388,0.561,0.567,0.459,0.619
"CORTA_INTENDENTE","No",0.451,0.612,0.439,0.433,0.541,0.381
