"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Axel Kicillof a gobernador por Unión por la Patria.",0.184,0.131,0.231,0.081,0.247,0.195,0.158,0.266,0.141,0.186,0.12,0.154,0.549,0.035,0.478,0.256,0.254,0.137,0.215,0.115,0.162
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.499,0.478,0.518,0.353,0.431,0.577,0.655,0.494,0.522,0.483,0.623,0.574,0.348,0.207,0.025,0.39,0.381,0.511,0.568,0.562,0.62
"Carolina Piparo a gobernadora por la Libertad Avanza",0.256,0.308,0.209,0.379,0.291,0.208,0.142,0.156,0.287,0.27,0.251,0.235,0.067,0.758,0.15,0.334,0.277,0.241,0.217,0.281,0.193
"Rubén Sobrero a gobernador por el Frente de Izquierda",0.027,0.028,0.026,0.076,0.013,0.007,0.028,0.027,0.022,0.031,0,0.006,0.02,0,0.285,0.009,0.006,0.075,0,0.028,0.011
"En blanco",0.034,0.055,0.016,0.111,0.018,0.013,0.017,0.057,0.028,0.03,0.006,0.031,0.016,0,0.062,0.011,0.082,0.036,0,0.014,0.014
