"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Sergio Massa a presidente por Unión por la Patria.",0.176,0.163,0.188,0.158,0.204,0.173,0.149,0.23,0.149,0.176,0.094,0.203,0.474,0.016,0.496,0.211,0.193,0.177,0.287,0.155,0.13
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.416,0.362,0.464,0.176,0.343,0.474,0.664,0.389,0.504,0.355,0.557,0.419,0.313,0.181,0.009,0.318,0.398,0.423,0.561,0.454,0.429
"Javier Milei a presidente por la Libertad Avanza",0.301,0.356,0.251,0.426,0.349,0.299,0.124,0.311,0.282,0.312,0.299,0.299,0.09,0.755,0.069,0.394,0.233,0.292,0.12,0.282,0.383
"Myriam Bregman a presidenta por el Frente de Izquierda",0.037,0.029,0.044,0.092,0.047,0.008,0.008,0.008,0.01,0.071,0.02,0.008,0.025,0.048,0.326,0.014,0.053,0.045,0.032,0.036,0.024
"Juan Schiaretti a presidente por Hacemos por Nuestro País",0.044,0.056,0.034,0.112,0.04,0.015,0.029,0.046,0.019,0.064,0.028,0.042,0.068,0,0.1,0.055,0.066,0.056,0,0.043,0.011
"En blanco",0.026,0.034,0.019,0.036,0.017,0.031,0.026,0.016,0.036,0.022,0.002,0.029,0.03,0,0,0.008,0.057,0.007,0,0.03,0.023
