"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Axel Kicillof a gobernador por Unión por la Patria.",0.287,0.275,0.298,0.272,0.35,0.296,0.188,0.281,0.288,0.289,0.105,0.231,0.793,0.127,0.461,0.315,0.288,0.233,0.305,0.226,0.378
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.43,0.376,0.476,0.363,0.305,0.469,0.636,0.42,0.431,0.433,0.699,0.481,0.128,0.062,0.019,0.321,0.39,0.502,0.482,0.477,0.408
"Carolina Piparo a gobernadora por la Libertad Avanza",0.196,0.252,0.148,0.273,0.256,0.148,0.096,0.171,0.195,0.207,0.164,0.195,0.051,0.782,0.165,0.221,0.224,0.185,0.166,0.188,0.175
"Rubén Sobrero a gobernador por el Frente de Izquierda",0.018,0.022,0.015,0.027,0.021,0.012,0.015,0.026,0.015,0.018,0.006,0.007,0.007,0,0.25,0.019,0.008,0.027,0.017,0.038,0.005
"En blanco",0.02,0.031,0.009,0.031,0.019,0.01,0.021,0.041,0.011,0.018,0.01,0.025,0.003,0.002,0.047,0.016,0.03,0.017,0.008,0.021,0.011
"No sabe",0.049,0.044,0.054,0.034,0.049,0.065,0.044,0.061,0.06,0.035,0.016,0.061,0.018,0.027,0.058,0.108,0.06,0.036,0.022,0.05,0.023
