"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Totalmente seguro.",0.732,0.754,0.713,0.747,0.707,0.73,0.764,0.805,0.718,0.716,0.76,0.653,0.809,0.82,0.625,0.68,0.736,0.738,0.75,0.751,0.734
"Bastante seguro",0.143,0.141,0.145,0.121,0.152,0.152,0.136,0.121,0.142,0.153,0.149,0.171,0.07,0.075,0.253,0.137,0.158,0.134,0.076,0.161,0.141
"Algo seguro",0.078,0.059,0.095,0.097,0.09,0.062,0.062,0.033,0.086,0.088,0.056,0.125,0.088,0.059,0.089,0.119,0.057,0.079,0.136,0.046,0.09
"Para nada seguro",0.047,0.046,0.047,0.035,0.051,0.056,0.038,0.041,0.054,0.043,0.035,0.051,0.033,0.046,0.033,0.064,0.049,0.049,0.038,0.042,0.035
