"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Unión por la Patria",0.25,0.255,0.245,0.257,0.271,0.279,0.177,0.27,0.22,0.266,0.115,0.21,0.741,0.121,0.177,0.244,0.285,0.223,0.353,0.207,0.254
"Juntos por el Cambio ",0.374,0.315,0.426,0.235,0.259,0.438,0.611,0.323,0.389,0.384,0.617,0.443,0.105,0.035,0.036,0.312,0.331,0.421,0.384,0.45,0.35
"De los Liberales libertarios",0.194,0.251,0.144,0.298,0.22,0.162,0.095,0.187,0.168,0.217,0.174,0.217,0.061,0.707,0.117,0.225,0.185,0.2,0.118,0.148,0.227
"De la Izquierda",0.046,0.051,0.042,0.075,0.071,0.016,0.015,0.079,0.026,0.049,0.031,0.013,0.021,0.113,0.309,0.062,0.046,0.042,0.094,0.033,0.042
"Hacemos por nuestro país",0.031,0.037,0.025,0.061,0.035,0.011,0.02,0.021,0.031,0.034,0.007,0.024,0.02,0.013,0.267,0.032,0.019,0.056,0,0.026,0.024
"En blanco",0.04,0.05,0.031,0.044,0.055,0.03,0.022,0.056,0.053,0.023,0.02,0.038,0.025,0.002,0.012,0.019,0.076,0.022,0.004,0.029,0.045
"No sabe",0.065,0.041,0.087,0.03,0.089,0.064,0.06,0.064,0.113,0.027,0.036,0.055,0.027,0.009,0.082,0.106,0.058,0.036,0.047,0.107,0.058
