"var","categoria","Federico Meca a intendente por Unión por la Patria.","Ramón Lanus a intendente por Juntos por el Cambio","Rodolfo Paolucci a intendente por la Libertad Avanza","Camila Paiz a intendenta por el Frente de Izquierda","En blanco"
"P05","Mucho",0.589,0.362,0.368,0.317,0.264
"P05","Bastante",0.271,0.385,0.36,0.319,0.236
"P05","Poco",0.084,0.194,0.117,0.188,0.323
"P05","Nada",0.04,0.021,0.077,0.108,0.117
"P05","No sabe",0.016,0.038,0.078,0.068,0.06
"P06","Siempre",0.389,0.137,0.344,0.023,0.17
"P06","Casi siempre",0.335,0.356,0.192,0.418,0.213
"P06","Casi nunca",0.218,0.376,0.294,0.372,0.456
"P06","Nunca, pero esta es una excepción",0.058,0.131,0.17,0.187,0.161
"P09","Unión por la Patria",0.532,0.07,0.044,0.43,0.092
"P09","Juntos por el Cambio ",0.165,0.533,0.293,0.052,0.116
"P09","De los Liberales libertarios",0.103,0.26,0.471,0,0.148
"P09","De la Izquierda",0.108,0.016,0.061,0.363,0.081
"P09","Hacemos por nuestro país",0.029,0.027,0.09,0.043,0.188
"P09","En blanco",0.041,0.013,0.005,0,0.21
"P09","No sabe",0.022,0.081,0.036,0.112,0.165
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.253,0.564,0.572,0.093,0.429
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.21,0.217,0.257,0.163,0.078
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.401,0.159,0.129,0.274,0.204
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.049,0.004,0.005,0.094,0.048
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.034,0.004,0.012,0.276,0.167
"P25","No sabe",0.053,0.052,0.025,0.1,0.074
"P26","Totalmente seguro.",0.677,0.644,0.668,0.361,0.43
"P26","Bastante seguro",0.191,0.145,0.145,0.518,0.215
"P26","Algo seguro",0.09,0.144,0.132,0,0.012
"P26","Para nada seguro",0.042,0.067,0.055,0.121,0.343
"P27","Tiene Decidido que va a ir a votar.",0.94,0.915,0.898,1,0.677
"P27","Tiene dudas sobre si va a ir a  votar",0.044,0.063,0.102,0,0.323
"P27","Tiene Decidido que no va a ir a votar",0.016,0.022,0,0,0
"P28","Si",0.466,0.376,0.494,0.456,0.203
"P28","No",0.534,0.624,0.506,0.544,0.797
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.",0.624,0.083,0.134,0.591,0.141
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio",0.146,0.61,0.271,0.071,0.166
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza",0.1,0.269,0.53,0.043,0.21
"P12_imputada","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda",0.096,0,0,0.295,0
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.034,0.015,0.06,0,0.102
"P12_imputada","En blanco",0,0.023,0.005,0,0.381
"P16_imputada","Sergio Massa a presidente por Unión por la Patria.",0.489,0.065,0.204,0.542,0.18
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.201,0.584,0.206,0.052,0.152
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0.134,0.318,0.502,0,0.175
"P16_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.107,0,0.032,0.406,0
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.04,0.022,0.051,0,0.238
"P16_imputada","En blanco",0.029,0.011,0.005,0,0.255
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.617,0.072,0.137,0.553,0.127
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.305,0.641,0.411,0.042,0.263
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.056,0.273,0.452,0.119,0.189
"P19_imputada","Rubén Sobrero a gobernador por el Frente de Izquierda",0.007,0.011,0,0.286,0
"P19_imputada","En blanco",0.015,0.003,0,0,0.421
"P22_imputada","Federico Meca a intendente por Unión por la Patria.",1,0,0,0,0
"P22_imputada","Ramón Lanus a intendente por Juntos por el Cambio",0,1,0,0,0
"P22_imputada","Rodolfo Paolucci a intendente por la Libertad Avanza",0,0,1,0,0
"P22_imputada","Camila Paiz a intendenta por el Frente de Izquierda",0,0,0,1,0
"P22_imputada","En blanco",0,0,0,0,1
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.489,0.065,0.204,0.542,0.18
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.201,0.584,0.206,0.052,0.152
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.134,0.318,0.502,0,0.175
"PRESIDENTE_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.107,0,0.032,0.406,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.04,0.022,0.051,0,0.238
"PRESIDENTE_imputada","En blanco",0.029,0.011,0.005,0,0.255
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.617,0.072,0.137,0.553,0.127
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.305,0.641,0.411,0.042,0.263
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.056,0.273,0.452,0.119,0.189
"GOBERNADOR_imputada","Rubén Sobrero a gobernador por el Frente de Izquierda",0.007,0.011,0,0.286,0
"GOBERNADOR_imputada","En blanco",0.015,0.003,0,0,0.421
"INTENDENTE_imputada","Federico Meca a intendente por Unión por la Patria.",1,0,0,0,0
"INTENDENTE_imputada","Ramón Lanus a intendente por Juntos por el Cambio",0,1,0,0,0
"INTENDENTE_imputada","Rodolfo Paolucci a intendente por la Libertad Avanza",0,0,1,0,0
"INTENDENTE_imputada","Camila Paiz a intendenta por el Frente de Izquierda",0,0,0,1,0
"INTENDENTE_imputada","En blanco",0,0,0,0,1
