"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Myriam Bregman a presidenta por el Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro País","En blanco"
"P05","Mucho",0.51,0.323,0.405,0.384,0.452,0.287
"P05","Bastante",0.33,0.412,0.361,0.319,0.148,0.234
"P05","Poco",0.076,0.191,0.173,0.256,0.277,0.365
"P05","Nada",0.041,0.021,0.053,0.041,0.123,0
"P05","No sabe",0.043,0.053,0.008,0,0,0.114
"P06","Siempre",0.305,0.187,0.159,0.286,0.115,0.169
"P06","Casi siempre",0.377,0.402,0.254,0.094,0.303,0.172
"P06","Casi nunca",0.228,0.342,0.402,0.324,0.339,0.625
"P06","Nunca, pero esta es una excepción",0.09,0.069,0.185,0.296,0.243,0.034
"P09","Unión por la Patria",0.505,0.096,0.038,0.245,0,0.042
"P09","Juntos por el Cambio ",0.157,0.701,0.179,0,0.112,0
"P09","De los Liberales libertarios",0.143,0.077,0.615,0,0.02,0
"P09","De la Izquierda",0.062,0.014,0.043,0.593,0.049,0
"P09","Hacemos por nuestro país",0.064,0.009,0.005,0.139,0.629,0
"P09","En blanco",0.016,0.023,0.029,0,0.16,0.72
"P09","No sabe",0.053,0.08,0.091,0.023,0.03,0.238
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.255,0.506,0.676,0.046,0.534,0.268
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.154,0.256,0.175,0.355,0.279,0.124
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.441,0.17,0.107,0.146,0.101,0.257
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.041,0.005,0.006,0.155,0,0
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.029,0,0.027,0.275,0.057,0.126
"P25","No sabe",0.08,0.063,0.009,0.023,0.029,0.225
"P26","Totalmente seguro.",0.509,0.65,0.749,0.54,0.418,0.202
"P26","Bastante seguro",0.237,0.196,0.078,0.238,0.194,0.234
"P26","Algo seguro",0.181,0.125,0.098,0,0.152,0
"P26","Para nada seguro",0.073,0.029,0.075,0.222,0.236,0.564
"P27","Tiene Decidido que va a ir a votar.",0.953,0.901,0.933,0.977,0.652,0.61
"P27","Tiene dudas sobre si va a ir a  votar",0.031,0.076,0.063,0.023,0.348,0.282
"P27","Tiene Decidido que no va a ir a votar",0.016,0.023,0.004,0,0,0.108
"P28","Si",0.535,0.415,0.378,0.35,0.142,0.262
"P28","No",0.465,0.585,0.622,0.65,0.858,0.738
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.",0.729,0.085,0.056,0.441,0.064,0.22
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio",0.118,0.81,0.121,0.029,0.099,0.204
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza",0.12,0.081,0.739,0.053,0,0
"P12_imputada","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda",0.025,0.018,0.027,0.391,0,0
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro País",0,0.005,0,0.086,0.702,0
"P12_imputada","En blanco",0.008,0.001,0.057,0,0.135,0.576
"P16_imputada","Sergio Massa a presidente por Unión por la Patria.",1,0,0,0,0,0
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0,1,0,0,0,0
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0,0,1,0,0,0
