"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","Rubén Sobrero a gobernador por el Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.627,0.43,0.394,0.489,0.188,0.309
"P05","Bastante",0.248,0.386,0.335,0.155,0.148,0.321
"P05","Poco",0.07,0.125,0.185,0.177,0.439,0.317
"P05","Nada",0.014,0.023,0.059,0.121,0.225,0.038
"P05","No sabe",0.041,0.036,0.027,0.058,0,0.015
"P06","Siempre",0.262,0.219,0.2,0.18,0.095,0.089
"P06","Casi siempre",0.334,0.385,0.227,0.205,0.217,0.369
"P06","Casi nunca",0.284,0.3,0.419,0.487,0.477,0.395
"P06","Nunca, pero esta es una excepción",0.12,0.096,0.154,0.128,0.211,0.147
"P09","Unión por la Patria",0.733,0.073,0.075,0.068,0.028,0.055
"P09","Juntos por el Cambio ",0.084,0.759,0.168,0.095,0.05,0.153
"P09","De los Liberales libertarios",0.045,0.107,0.653,0,0.026,0.069
"P09","De la Izquierda",0.053,0.012,0.021,0.572,0.114,0.051
"P09","Hacemos por nuestro país",0.022,0.009,0.028,0.227,0.299,0.021
"P09","En blanco",0.016,0.025,0.007,0,0.468,0.164
"P09","No sabe",0.047,0.015,0.048,0.038,0.015,0.487
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.",0.922,0.031,0.025,0.257,0.018,0.152
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio",0.03,0.862,0.104,0.047,0.026,0.105
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza",0.02,0.075,0.832,0.042,0,0.104
"P12","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda",0.023,0,0.008,0.637,0.047,0
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.005,0.004,0.025,0,0.438,0.022
"P12","En blanco",0,0.012,0,0,0.471,0.106
"P12","No sabe",0,0.016,0.006,0.017,0,0.511
"P15","Si",0.268,0.397,0.514,0.506,0.545,0.804
"P15","No",0.732,0.603,0.486,0.494,0.455,0.196
"P16","Sergio Massa a presidente por Unión por la Patria.",0.6,0.067,0.084,0.4,0.028,0.216
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.138,0.662,0.218,0.14,0.048,0.146
"P16","Javier Milei a presidente por la Libertad Avanza",0.097,0.231,0.638,0,0,0.159
"P16","Myriam Bregman a presidenta por el Frente de Izquierda",0.129,0,0.018,0.424,0.091,0.009
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.025,0.021,0.039,0,0.766,0.022
"P16","En blanco",0.006,0.012,0,0,0.067,0.153
"P16","No sabe",0.005,0.007,0.003,0.036,0,0.295
"P19","Axel Kicillof a gobernador por Unión por la Patria.",1,0,0,0,0,0
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0,1,0,0,0,0
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0,0,1,0,0,0
"P19","Rubén Sobrero a gobernador por el Frente de Izquierda",0,0,0,1,0,0
"P19","En blanco",0,0,0,0,1,0
"P19","No sabe",0,0,0,0,0,1
"P22","Federico Meca a intendente por Unión por la Patria.",0.46,0.095,0.032,0.066,0.078,0.09
"P22","Ramón Lanus a intendente por Juntos por el Cambio",0.167,0.717,0.545,0.201,0.105,0.216
"P22","Rodolfo Paolucci a intendente por la Libertad Avanza",0.143,0.136,0.323,0,0,0.076
"P22","Camila Paiz a intendenta por el Frente de Izquierda",0.09,0.004,0.021,0.733,0,0
"P22","En blanco",0.027,0.021,0.039,0,0.757,0.076
"P22","No sabe",0.113,0.027,0.04,0,0.06,0.542
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.073,0.47,0.614,0.222,0.378,0.334
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.217,0.358,0.249,0.172,0.17,0.201
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.565,0.134,0.062,0.053,0.161,0.159
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.058,0,0.033,0.312,0.012,0.036
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.037,0.008,0.03,0.179,0.113,0.064
"P25","No sabe",0.05,0.03,0.012,0.062,0.166,0.206
"P26","Totalmente seguro.",0.745,0.732,0.802,0.734,0.719,0.298
"P26","Bastante seguro",0.154,0.154,0.109,0.106,0.017,0.187
"P26","Algo seguro",0.066,0.089,0.061,0.064,0.032,0.147
"P26","Para nada seguro",0.035,0.025,0.028,0.096,0.232,0.368
"P27","Tiene Decidido que va a ir a votar.",0.958,0.923,0.901,0.885,0.642,0.781
"P27","Tiene dudas sobre si va a ir a  votar",0.037,0.057,0.058,0.065,0.297,0.161
"P27","Tiene Decidido que no va a ir a votar",0.005,0.02,0.041,0.05,0.061,0.058
"P28","Si",0.443,0.427,0.357,0.486,0.145,0.324
"P28","No",0.557,0.573,0.643,0.514,0.855,0.676
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.894,0.027,0.044,0.202,0.018,0.182
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.034,0.863,0.108,0.081,0.026,0.109
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.025,0.095,0.818,0,0,0.136
"PRESIDENTE","Myriam Bregman a presidenta por el Frente de Izquierda",0.037,0,0.006,0.7,0.047,0.008
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.007,0.009,0.022,0,0.561,0.021
"PRESIDENTE","En blanco",0.002,0.004,0,0,0.348,0.13
"PRESIDENTE","No sabe",0.001,0.002,0.002,0.017,0,0.414
"INTENDENTE","Federico Meca a intendente por Unión por la Patria.",0.867,0.038,0.016,0.027,0.037,0.068
"INTENDENTE","Ramón Lanus a intendente por Juntos por el Cambio",0.041,0.89,0.277,0.097,0.047,0.177
"INTENDENTE","Rodolfo Paolucci a intendente por la Libertad Avanza",0.032,0.054,0.654,0,0,0.043
"INTENDENTE","Camila Paiz a intendenta por el Frente de Izquierda",0.024,0.001,0.009,0.876,0,0
"INTENDENTE","En blanco",0.009,0.007,0.019,0,0.89,0.059
"INTENDENTE","No sabe",0.027,0.01,0.025,0,0.026,0.653
"CORTA_PRESIDENTE","Si",0.081,0.093,0.087,0.098,0.123,0.227
"CORTA_PRESIDENTE","No",0.919,0.907,0.913,0.902,0.877,0.773
"CORTA_GOBERNADOR","Si",0.078,0.138,0.168,0.363,0.091,0.489
"CORTA_GOBERNADOR","No",0.922,0.862,0.832,0.637,0.909,0.511
"CORTA_INTENDENTE","Si",0.142,0.158,0.289,0.293,0.247,0.488
"CORTA_INTENDENTE","No",0.858,0.842,0.711,0.707,0.753,0.512
