"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Tiene Decidido que va a ir a votar.",0.918,0.933,0.905,0.885,0.933,0.923,0.912,0.858,0.921,0.938,0.938,0.939,0.951,0.964,0.784,0.886,0.908,0.906,0.898,0.927,0.962
"Tiene dudas sobre si va a ir a  votar",0.06,0.054,0.065,0.083,0.045,0.068,0.057,0.128,0.052,0.04,0.038,0.053,0.034,0,0.201,0.088,0.059,0.079,0.052,0.052,0.027
"Tiene Decidido que no va a ir a votar",0.022,0.013,0.03,0.032,0.022,0.009,0.031,0.014,0.027,0.022,0.024,0.008,0.015,0.036,0.015,0.026,0.033,0.015,0.05,0.021,0.011
