"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.",0.283,0.28,0.285,0.257,0.34,0.297,0.195,0.306,0.274,0.28,0.102,0.232,0.766,0.089,0.526,0.334,0.289,0.228,0.242,0.251,0.341
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio",0.428,0.363,0.484,0.266,0.312,0.498,0.663,0.396,0.449,0.424,0.694,0.474,0.116,0.07,0.011,0.317,0.423,0.5,0.491,0.477,0.363
"Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza",0.219,0.287,0.16,0.351,0.261,0.167,0.107,0.244,0.203,0.223,0.164,0.239,0.072,0.819,0.092,0.283,0.225,0.203,0.18,0.182,0.232
"Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda",0.025,0.018,0.032,0.038,0.038,0.012,0.01,0.015,0.026,0.029,0.02,0.015,0.007,0.005,0.24,0.021,0.008,0.031,0.015,0.046,0.028
"Juan Schiaretti a presidente por Hacemos por Nuestro País",0.021,0.027,0.015,0.048,0.021,0.009,0.011,0.024,0.011,0.026,0.009,0.011,0.031,0.016,0.044,0.033,0.021,0.024,0,0.033,0.003
"En blanco",0.024,0.025,0.024,0.04,0.028,0.017,0.014,0.015,0.037,0.018,0.011,0.029,0.008,0.001,0.087,0.012,0.034,0.014,0.072,0.011,0.033
