"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Sergio Massa a presidente por Unión por la Patria.",0.273,0.273,0.273,0.278,0.321,0.287,0.18,0.29,0.27,0.269,0.086,0.241,0.76,0.09,0.463,0.307,0.26,0.235,0.296,0.232,0.341
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.435,0.372,0.49,0.281,0.318,0.48,0.682,0.408,0.468,0.419,0.696,0.469,0.137,0.087,0.016,0.32,0.436,0.497,0.475,0.493,0.375
"Javier Milei a presidente por la Libertad Avanza",0.223,0.28,0.173,0.306,0.285,0.197,0.093,0.245,0.212,0.223,0.184,0.239,0.066,0.804,0.094,0.31,0.207,0.212,0.132,0.191,0.247
"Myriam Bregman a presidenta por el Frente de Izquierda",0.025,0.023,0.027,0.043,0.035,0.011,0.011,0.018,0.011,0.039,0.014,0.009,0.007,0.017,0.293,0.023,0.03,0.019,0.027,0.038,0.017
"Juan Schiaretti a presidente por Hacemos por Nuestro País",0.024,0.029,0.02,0.062,0.023,0.01,0.013,0.018,0.014,0.035,0.014,0.027,0.024,0,0.047,0.024,0.031,0.033,0,0.028,0.007
"En blanco",0.02,0.023,0.017,0.03,0.018,0.015,0.021,0.021,0.025,0.015,0.006,0.015,0.006,0.002,0.087,0.016,0.036,0.004,0.07,0.018,0.013
