"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Axel Kicillof a gobernador por Unión por la Patria.",0.177,0.133,0.217,0.089,0.247,0.161,0.155,0.227,0.141,0.186,0.123,0.146,0.519,0.049,0.493,0.22,0.245,0.133,0.22,0.115,0.163
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.433,0.43,0.435,0.349,0.352,0.473,0.586,0.47,0.431,0.419,0.588,0.488,0.313,0.131,0.01,0.331,0.338,0.452,0.526,0.441,0.559
"Carolina Piparo a gobernadora por la Libertad Avanza",0.242,0.289,0.2,0.334,0.29,0.204,0.132,0.156,0.261,0.261,0.254,0.221,0.055,0.746,0.155,0.254,0.261,0.24,0.194,0.28,0.193
"Rubén Sobrero a gobernador por el Frente de Izquierda",0.023,0.026,0.021,0.069,0.013,0.007,0.02,0.018,0.02,0.028,0,0.007,0.023,0,0.268,0.009,0.007,0.067,0,0.016,0.011
"En blanco",0.026,0.038,0.015,0.076,0.014,0.012,0.019,0.055,0.006,0.031,0.007,0.038,0.015,0,0.047,0.008,0.042,0.042,0,0.015,0.012
"No sabe",0.099,0.084,0.112,0.083,0.084,0.143,0.088,0.074,0.141,0.075,0.028,0.1,0.075,0.074,0.027,0.178,0.107,0.066,0.06,0.133,0.062
