"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.",0.287,0.284,0.291,0.268,0.336,0.314,0.196,0.295,0.279,0.292,0.114,0.234,0.78,0.109,0.465,0.319,0.306,0.237,0.249,0.233,0.357
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio",0.392,0.327,0.449,0.265,0.273,0.451,0.622,0.342,0.416,0.393,0.653,0.432,0.103,0.049,0.012,0.293,0.374,0.466,0.414,0.447,0.337
"Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza",0.212,0.284,0.149,0.345,0.252,0.153,0.107,0.245,0.189,0.218,0.165,0.223,0.061,0.812,0.1,0.274,0.217,0.198,0.192,0.168,0.224
"Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda",0.026,0.019,0.032,0.033,0.041,0.012,0.009,0.019,0.026,0.028,0.022,0.012,0.008,0.005,0.231,0.018,0.009,0.027,0.013,0.054,0.031
"Juan Schiaretti a presidente por Hacemos por Nuestro País",0.02,0.028,0.012,0.044,0.02,0.009,0.011,0.024,0.01,0.026,0.009,0.011,0.022,0.013,0.052,0.025,0.024,0.023,0,0.029,0.003
"En blanco",0.025,0.028,0.022,0.045,0.029,0.015,0.012,0.018,0.036,0.018,0.014,0.03,0.008,0.002,0.086,0.012,0.033,0.016,0.075,0.009,0.035
"No sabe",0.038,0.03,0.045,0,0.049,0.046,0.043,0.057,0.044,0.025,0.023,0.058,0.018,0.01,0.054,0.059,0.037,0.033,0.057,0.06,0.013
